year,age_group,gender,kvalue
1950,0 - 4 years,Both sexes,310.2
1950,0 - 4 years,Male,158.9
1950,0 - 4 years,Female,151.3
1950,0 - 14 years,Both sexes,851.2
1950,0 - 14 years,Male,434.6
1950,0 - 14 years,Female,416.6
1950,5 - 9 years,Both sexes,278.9
1950,5 - 9 years,Male,142.3
1950,5 - 9 years,Female,136.6
1950,10 - 14 years,Both sexes,262.1
1950,10 - 14 years,Male,133.4
1950,10 - 14 years,Female,128.7
1950,15 - 19 years,Both sexes,244.0
1950,15 - 19 years,Male,126.6
1950,15 - 19 years,Female,117.4
1950,15 - 24 years,Both sexes,452.6
1950,15 - 24 years,Male,234.9
1950,15 - 24 years,Female,217.7
1950,15 years and over,Both sexes,2117.8
1950,15 years and over,Male,1075.4
1950,15 years and over,Female,1042.4
1950,20 - 24 years,Both sexes,208.6
1950,20 - 24 years,Male,108.3
1950,20 - 24 years,Female,100.3
1950,25 - 29 years,Both sexes,201.1
1950,25 - 29 years,Male,100.9
1950,25 - 29 years,Female,100.2
1950,25 - 44 years,Both sexes,773.6
1950,25 - 44 years,Male,393.4
1950,25 - 44 years,Female,380.2
1950,30 - 34 years,Both sexes,194.8
1950,30 - 34 years,Male,98.3
1950,30 - 34 years,Female,96.5
1950,35 - 39 years,Both sexes,199.8
1950,35 - 39 years,Male,101.8
1950,35 - 39 years,Female,98.0
1950,40 - 44 years,Both sexes,177.9
1950,40 - 44 years,Male,92.4
1950,40 - 44 years,Female,85.5
1950,45 - 49 years,Both sexes,163.8
1950,45 - 49 years,Male,83.6
1950,45 - 49 years,Female,80.2
1950,45 - 64 years,Both sexes,574.5
1950,45 - 64 years,Male,291.3
1950,45 - 64 years,Female,283.2
1950,50 - 54 years,Both sexes,158.4
1950,50 - 54 years,Male,80.6
1950,50 - 54 years,Female,77.8
1950,55 - 59 years,Both sexes,130.4
1950,55 - 59 years,Male,65.8
1950,55 - 59 years,Female,64.6
1950,60 - 64 years,Both sexes,121.9
1950,60 - 64 years,Male,61.3
1950,60 - 64 years,Female,60.6
1950,65 - 69 years,Both sexes,109.3
1950,65 - 69 years,Male,55.2
1950,65 - 69 years,Female,54.1
1950,65 years and over,Both sexes,317.1
1950,65 years and over,Male,155.8
1950,65 years and over,Female,161.3
1950,70 - 74 years,Both sexes,100.4
1950,70 - 74 years,Male,49.5
1950,70 - 74 years,Female,50.9
1950,75 - 79 years,Both sexes,64.0
1950,75 - 79 years,Male,31.4
1950,75 - 79 years,Female,32.6
1950,80 - 84 years,Both sexes,30.1
1950,80 - 84 years,Male,14.2
1950,80 - 84 years,Female,15.9
1950,85 years and over,Both sexes,13.3
1950,85 years and over,Male,5.5
1950,85 years and over,Female,7.8
1950,All ages,Both sexes,2969.0
1950,All ages,Male,1510.0
1950,All ages,Female,1459.0
1951,0 - 4 years,Both sexes,312.9
1951,0 - 4 years,Male,160.0
1951,0 - 4 years,Female,152.6
1951,0 - 14 years,Both sexes,854.8
1951,0 - 14 years,Male,436.4
1951,0 - 14 years,Female,418.4
1951,5 - 9 years,Both sexes,281.0
1951,5 - 9 years,Male,143.5
1951,5 - 9 years,Female,137.6
1951,10 - 14 years,Both sexes,260.9
1951,10 - 14 years,Male,132.7
1951,10 - 14 years,Female,128.2
1951,15 - 19 years,Both sexes,241.2
1951,15 - 19 years,Male,125.7
1951,15 - 19 years,Female,115.4
1951,15 - 24 years,Both sexes,443.4
1951,15 - 24 years,Male,231.1
1951,15 - 24 years,Female,212.2
1951,15 years and over,Both sexes,2105.8
1951,15 years and over,Male,1070.2
1951,15 years and over,Female,1035.6
1951,20 - 24 years,Both sexes,202.2
1951,20 - 24 years,Male,105.4
1951,20 - 24 years,Female,96.8
1951,25 - 29 years,Both sexes,198.4
1951,25 - 29 years,Male,99.6
1951,25 - 29 years,Female,98.8
1951,25 - 44 years,Both sexes,771.2
1951,25 - 44 years,Male,392.3
1951,25 - 44 years,Female,378.9
1951,30 - 34 years,Both sexes,191.6
1951,30 - 34 years,Male,96.4
1951,30 - 34 years,Female,95.1
1951,35 - 39 years,Both sexes,200.9
1951,35 - 39 years,Male,102.3
1951,35 - 39 years,Female,98.6
1951,40 - 44 years,Both sexes,180.3
1951,40 - 44 years,Male,94.0
1951,40 - 44 years,Female,86.3
1951,45 - 49 years,Both sexes,160.9
1951,45 - 49 years,Male,82.4
1951,45 - 49 years,Female,78.5
1951,45 - 64 years,Both sexes,574.8
1951,45 - 64 years,Male,291.7
1951,45 - 64 years,Female,283.1
1951,50 - 54 years,Both sexes,163.0
1951,50 - 54 years,Male,82.9
1951,50 - 54 years,Female,80.1
1951,55 - 59 years,Both sexes,128.8
1951,55 - 59 years,Male,65.0
1951,55 - 59 years,Female,63.8
1951,60 - 64 years,Both sexes,122.1
1951,60 - 64 years,Male,61.3
