year,age_group,gender,Inward or Outward Flow,kvalue
1987,All ages,Both sexes,Net migration,-23.0
1987,All ages,Both sexes,Emigrants: All destinations,40.2
1987,All ages,Both sexes,Immigrants: All origins,17.2
1987,All ages,Male,Net migration,
1987,All ages,Male,Emigrants: All destinations,
1987,All ages,Male,Immigrants: All origins,
1987,All ages,Female,Net migration,
1987,All ages,Female,Emigrants: All destinations,
1987,All ages,Female,Immigrants: All origins,
1987,0 - 14 years,Both sexes,Net migration,
1987,0 - 14 years,Both sexes,Emigrants: All destinations,2.8
1987,0 - 14 years,Both sexes,Immigrants: All origins,3.1
1987,0 - 14 years,Male,Net migration,
1987,0 - 14 years,Male,Emigrants: All destinations,1.4
1987,0 - 14 years,Male,Immigrants: All origins,1.3
1987,0 - 14 years,Female,Net migration,
1987,0 - 14 years,Female,Emigrants: All destinations,1.3
1987,0 - 14 years,Female,Immigrants: All origins,1.8
1987,15 - 24 years,Both sexes,Net migration,
1987,15 - 24 years,Both sexes,Emigrants: All destinations,24.0
1987,15 - 24 years,Both sexes,Immigrants: All origins,5.1
1987,15 - 24 years,Male,Net migration,
1987,15 - 24 years,Male,Emigrants: All destinations,12.3
1987,15 - 24 years,Male,Immigrants: All origins,1.9
1987,15 - 24 years,Female,Net migration,
1987,15 - 24 years,Female,Emigrants: All destinations,11.7
1987,15 - 24 years,Female,Immigrants: All origins,3.2
1987,25 - 44 years,Both sexes,Net migration,
1987,25 - 44 years,Both sexes,Emigrants: All destinations,11.8
1987,25 - 44 years,Both sexes,Immigrants: All origins,6.1
1987,25 - 44 years,Male,Net migration,
1987,25 - 44 years,Male,Emigrants: All destinations,6.9
1987,25 - 44 years,Male,Immigrants: All origins,3.4
1987,25 - 44 years,Female,Net migration,
1987,25 - 44 years,Female,Emigrants: All destinations,4.9
1987,25 - 44 years,Female,Immigrants: All origins,2.7
1987,45 - 64 years,Both sexes,Net migration,
1987,45 - 64 years,Both sexes,Emigrants: All destinations,1.7
1987,45 - 64 years,Both sexes,Immigrants: All origins,1.8
1987,45 - 64 years,Male,Net migration,
1987,45 - 64 years,Male,Emigrants: All destinations,1.0
1987,45 - 64 years,Male,Immigrants: All origins,1.0
1987,45 - 64 years,Female,Net migration,
1987,45 - 64 years,Female,Emigrants: All destinations,0.7
1987,45 - 64 years,Female,Immigrants: All origins,0.8
1987,65 years and over,Both sexes,Net migration,
1987,65 years and over,Both sexes,Emigrants: All destinations,0.0
1987,65 years and over,Both sexes,Immigrants: All origins,1.1
1987,65 years and over,Male,Net migration,
1987,65 years and over,Male,Emigrants: All destinations,0.0
1987,65 years and over,Male,Immigrants: All origins,0.5
1987,65 years and over,Female,Net migration,
1987,65 years and over,Female,Emigrants: All destinations,0.0
1987,65 years and over,Female,Immigrants: All origins,0.6
1988,All ages,Both sexes,Net migration,-41.9
1988,All ages,Both sexes,Emigrants: All destinations,61.1
1988,All ages,Both sexes,Immigrants: All origins,19.2
1988,All ages,Male,Net migration,
1988,All ages,Male,Emigrants: All destinations,
1988,All ages,Male,Immigrants: All origins,
1988,All ages,Female,Net migration,
1988,All ages,Female,Emigrants: All destinations,
1988,All ages,Female,Immigrants: All origins,
1988,0 - 14 years,Both sexes,Net migration,
1988,0 - 14 years,Both sexes,Emigrants: All destinations,8.3
1988,0 - 14 years,Both sexes,Immigrants: All origins,3.0
1988,0 - 14 years,Male,Net migration,
1988,0 - 14 years,Male,Emigrants: All destinations,4.3
1988,0 - 14 years,Male,Immigrants: All origins,1.5
1988,0 - 14 years,Female,Net migration,
1988,0 - 14 years,Female,Emigrants: All destinations,4.0
1988,0 - 14 years,Female,Immigrants: All origins,1.5
1988,15 - 24 years,Both sexes,Net migration,
1988,15 - 24 years,Both sexes,Emigrants: All destinations,31.2
1988,15 - 24 years,Both sexes,Immigrants: All origins,5.4
1988,15 - 24 years,Male,Net migration,
1988,15 - 24 years,Male,Emigrants: All destinations,17.0
1988,15 - 24 years,Male,Immigrants: All origins,2.4
1988,15 - 24 years,Female,Net migration,
1988,15 - 24 years,Female,Emigrants: All destinations,14.3
1988,15 - 24 years,Female,Immigrants: All origins,3.0
1988,25 - 44 years,Both sexes,Net migration,
1988,25 - 44 years,Both sexes,Emigrants: All destinations,18.3
1988,25 - 44 years,Both sexes,Immigrants: All origins,7.2
1988,25 - 44 years,Male,Net migration,
1988,25 - 44 years,Male,Emigrants: All destinations,11.0
