age_group,0 - 14 years,0 - 14 years,0 - 14 years,0 - 4 years,0 - 4 years,0 - 4 years,10 - 14 years,10 - 14 years,10 - 14 years,15 - 19 years,15 - 19 years,15 - 19 years,15 - 24 years,15 - 24 years,15 - 24 years,15 years and over,15 years and over,15 years and over,20 - 24 years,20 - 24 years,20 - 24 years,25 - 29 years,25 - 29 years,25 - 29 years,25 - 44 years,25 - 44 years,25 - 44 years,30 - 34 years,30 - 34 years,30 - 34 years,35 - 39 years,35 - 39 years,35 - 39 years,40 - 44 years,40 - 44 years,40 - 44 years,45 - 49 years,45 - 49 years,45 - 49 years,45 - 64 years,45 - 64 years,45 - 64 years,5 - 9 years,5 - 9 years,5 - 9 years,50 - 54 years,50 - 54 years,50 - 54 years,55 - 59 years,55 - 59 years,55 - 59 years,60 - 64 years,60 - 64 years,60 - 64 years,65 - 69 years,65 - 69 years,65 - 69 years,65 years and over,65 years and over,65 years and over,70 - 74 years,70 - 74 years,70 - 74 years,75 - 79 years,75 - 79 years,75 - 79 years,80 - 84 years,80 - 84 years,80 - 84 years,85 years and over,85 years and over,85 years and over,All ages,All ages,All ages
gender,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male,Both sexes,Female,Male
year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,851.2,416.6,434.6,310.2,151.3,158.9,262.1,128.7,133.4,244.0,117.4,126.6,452.6,217.7,234.9,2117.8,1042.4,1075.4,208.6,100.3,108.3,201.1,100.2,100.9,773.6,380.2,393.4,194.8,96.5,98.3,199.8,98.0,101.8,177.9,85.5,92.4,163.8,80.2,83.6,574.5,283.2,291.3,278.9,136.6,142.3,158.4,77.8,80.6,130.4,64.6,65.8,121.9,60.6,61.3,109.3,54.1,55.2,317.1,161.3,155.8,100.4,50.9,49.5,64.0,32.6,31.4,30.1,15.9,14.2,13.3,7.8,5.5,2969.0,1459.0,1510.0
1951,854.8,418.4,436.4,312.9,152.6,160.0,260.9,128.2,132.7,241.2,115.4,125.7,443.4,212.2,231.1,2105.8,1035.6,1070.2,202.2,96.8,105.4,198.4,98.8,99.6,771.2,378.9,392.3,191.6,95.1,96.4,200.9,98.6,102.3,180.3,86.3,94.0,160.9,78.5,82.4,574.8,283.1,291.7,281.0,137.6,143.5,163.0,80.1,82.9,128.8,63.8,65.0,122.1,60.7,61.3,107.5,53.4,54.1,316.4,161.4,155.0,100.1,51.0,49.1,64.6,32.9,31.6,30.9,16.2,14.6,13.3,7.8,5.5,2960.6,1454.0,1506.6
1952,859.6,420.8,438.8,310.3,151.6,158.7,264.6,130.0,134.6,239.7,114.7,125.0,437.5,209.7,227.8,2093.3,1031.2,1062.1,197.8,95.0,102.8,192.9,96.3,96.6,760.3,375.1,385.2,188.6,94.0,94.6,197.3,97.5,99.8,181.5,87.3,94.2,163.6,79.7,83.9,578.6,284.8,293.8,284.7,139.2,145.5,160.0,78.4,81.6,133.8,66.2,67.6,121.2,60.5,60.7,107.9,53.5,54.4,316.9,161.6,155.3,98.8,50.4,48.4,64.9,33.1,31.8,31.3,16.5,14.8,14.0,8.1,5.9,2952.9,1452.0,1500.9
1953,865.3,423.4,441.9,308.2,150.7,157.5,268.6,131.9,136.7,238.6,114.1,124.5,432.3,207.4,224.9,2083.7,1027.7,1056.0,193.7,93.3,100.4,187.7,93.9,93.8,750.6,371.8,378.8,185.8,92.9,92.9,194.1,96.6,97.5,183.0,88.4,94.6,166.4,80.9,85.5,583.0,286.6,296.4,288.5,140.8,147.7,157.3,76.8,80.5,138.8,68.6,70.2,120.5,60.3,60.2,108.6,53.7,54.9,317.8,161.9,155.9,97.7,49.9,47.8,65.4,33.3,32.1,31.6,16.7,14.9,14.5,8.3,6.2,2949.0,1451.1,1497.9
1954,870.0,425.6,444.4,305.9,149.7,156.2,272.1,133.6,138.5,237.1,113.3,123.8,426.5,204.8,221.7,2071.2,1022.6,1048.6,189.4,91.5,97.9,182.2,91.3,90.9,739.7,367.8,371.9,182.8,91.7,91.1,190.6,95.5,95.1,184.1,89.3,94.8,169.0,82.0,87.0,586.7,288.0,298.7,292.0,142.3,149.7,154.4,75.1,79.3,143.6,70.9,72.7,119.7,60.0,59.7,109.0,53.8,55.2,318.3,162.0,156.3,96.3,49.2,47.1,65.8,33.5,32.3,32.1,17.0,15.1,15.1,8.5,6.6,2941.2,1448.2,1493.0
1955,871.0,426.8,444.2,302.1,148.3,153.8,274.6,135.0,139.6,234.7,112.3,122.4,419.0,201.8,217.2,2049.9,1015.0,1034.9,184.3,89.5,94.8,176.1,88.6,87.5,725.8,363.0,362.8,179.0,90.3,88.7,186.2,94.1,92.1,184.5,90.0,94.5,170.3,82.4,87.9,587.4,288.3,299.1,294.3,143.5,150.8,150.9,73.3,77.6,147.8,73.0,74.8,118.4,59.6,58.8,109.0,53.8,55.2,317.7,161.9,155.8,94.7,48.5,46.2,65.9,33.6,32.3,32.4,17.2,15.2,15.7,8.8,6.9,2920.9,1441.8,1479.1
1956,870.8,427.6,443.2,298.1,146.8,151.3,276.6,136.3,140.3,232.1,111.3,120.8,411.2,198.8,212.4,2027.7,1007.8,1019.9,179.1,87.5,91.6,169.8,85.8,84.0,711.6,358.2,353.4,175.2,88.9,86.3,181.9,92.8,89.1,184.7,90.7,94.0,172.4,83.7,88.7,588.3,289.3,299.0,296.1,144.5,151.6,147.2,71.4,75.8,151.8,75.1,76.7,116.9,59.1,57.8,108.9,53.7,55.2,316.6,161.5,155.1,93.0,47.8,45.2,65.9,33.6,32.3,32.6,17.4,15.2,16.2,9.0,7.2,2898.5,1435.4,1463.1
1957,873.1,428.0,445.1,299.0,147.0,152.0,279.4,137.2,142.2,232.7,111.8,120.9,407.7,197.3,210.4,2012.2,1001.2,1011.0,175.0,85.5,89.5,164.9,83.2,81.7,696.7,350.8,345.9,170.8,86.6,84.2,179.0,91.3,87.7,182.0,89.7,92.3,173.0,84.1,88.9,591.2,290.7,300.5,294.7,143.8,150.9,149.4,72.3,77.1,148.8,73.6,75.2,120.0,60.7,59.3,107.9,53.4,54.5,316.6,162.4,154.2,93.1,48.0,45.1,65.4,33.6,31.8,33.5,18.0,15.5,16.7,9.4,7.3,2885.3,1429.2,1456.1
