year,gender,0 - 14 years,0 - 4 years,10 - 14 years,15 - 19 years,15 - 24 years,15 years and over,20 - 24 years,25 - 29 years,25 - 44 years,30 - 34 years,35 - 39 years,40 - 44 years,45 - 49 years,45 - 64 years,5 - 9 years,50 - 54 years,55 - 59 years,60 - 64 years,65 - 69 years,65 years and over,70 - 74 years,75 - 79 years,80 - 84 years,85 years and over,All ages
1950,Both sexes,851.2,310.2,262.1,244.0,452.6,2117.8,208.6,201.1,773.6,194.8,199.8,177.9,163.8,574.5,278.9,158.4,130.4,121.9,109.3,317.1,100.4,64.0,30.1,13.3,2969.0
1950,Female,416.6,151.3,128.7,117.4,217.7,1042.4,100.3,100.2,380.2,96.5,98.0,85.5,80.2,283.2,136.6,77.8,64.6,60.6,54.1,161.3,50.9,32.6,15.9,7.8,1459.0
1950,Male,434.6,158.9,133.4,126.6,234.9,1075.4,108.3,100.9,393.4,98.3,101.8,92.4,83.6,291.3,142.3,80.6,65.8,61.3,55.2,155.8,49.5,31.4,14.2,5.5,1510.0
1951,Both sexes,854.8,312.9,260.9,241.2,443.4,2105.8,202.2,198.4,771.2,191.6,200.9,180.3,160.9,574.8,281.0,163.0,128.8,122.1,107.5,316.4,100.1,64.6,30.9,13.3,2960.6
1951,Female,418.4,152.6,128.2,115.4,212.2,1035.6,96.8,98.8,378.9,95.1,98.6,86.3,78.5,283.1,137.6,80.1,63.8,60.7,53.4,161.4,51.0,32.9,16.2,7.8,1454.0
1951,Male,436.4,160.0,132.7,125.7,231.1,1070.2,105.4,99.6,392.3,96.4,102.3,94.0,82.4,291.7,143.5,82.9,65.0,61.3,54.1,155.0,49.1,31.6,14.6,5.5,1506.6
1952,Both sexes,859.6,310.3,264.6,239.7,437.5,2093.3,197.8,192.9,760.3,188.6,197.3,181.5,163.6,578.6,284.7,160.0,133.8,121.2,107.9,316.9,98.8,64.9,31.3,14.0,2952.9
1952,Female,420.8,151.6,130.0,114.7,209.7,1031.2,95.0,96.3,375.1,94.0,97.5,87.3,79.7,284.8,139.2,78.4,66.2,60.5,53.5,161.6,50.4,33.1,16.5,8.1,1452.0
1952,Male,438.8,158.7,134.6,125.0,227.8,1062.1,102.8,96.6,385.2,94.6,99.8,94.2,83.9,293.8,145.5,81.6,67.6,60.7,54.4,155.3,48.4,31.8,14.8,5.9,1500.9
1953,Both sexes,865.3,308.2,268.6,238.6,432.3,2083.7,193.7,187.7,750.6,185.8,194.1,183.0,166.4,583.0,288.5,157.3,138.8,120.5,108.6,317.8,97.7,65.4,31.6,14.5,2949.0
1953,Female,423.4,150.7,131.9,114.1,207.4,1027.7,93.3,93.9,371.8,92.9,96.6,88.4,80.9,286.6,140.8,76.8,68.6,60.3,53.7,161.9,49.9,33.3,16.7,8.3,1451.1
1953,Male,441.9,157.5,136.7,124.5,224.9,1056.0,100.4,93.8,378.8,92.9,97.5,94.6,85.5,296.4,147.7,80.5,70.2,60.2,54.9,155.9,47.8,32.1,14.9,6.2,1497.9
