year,0 - 14 years,0 - 4 years,10 - 14 years,15 - 19 years,15 - 24 years,15 years and over,20 - 24 years,25 - 29 years,25 - 44 years,30 - 34 years,35 - 39 years,40 - 44 years,45 - 49 years,45 - 64 years,5 - 9 years,50 - 54 years,55 - 59 years,60 - 64 years,65 - 69 years,65 years and over,70 - 74 years,75 - 79 years,80 - 84 years,85 years and over,All ages
1950,851.2,310.2,262.1,244.0,452.6,2117.8,208.6,201.1,773.6,194.8,199.8,177.9,163.8,574.5,278.9,158.4,130.4,121.9,109.3,317.1,100.4,64.0,30.1,13.3,2969.0
1951,854.8,312.9,260.9,241.2,443.4,2105.8,202.2,198.4,771.2,191.6,200.9,180.3,160.9,574.8,281.0,163.0,128.8,122.1,107.5,316.4,100.1,64.6,30.9,13.3,2960.6
1952,859.6,310.3,264.6,239.7,437.5,2093.3,197.8,192.9,760.3,188.6,197.3,181.5,163.6,578.6,284.7,160.0,133.8,121.2,107.9,316.9,98.8,64.9,31.3,14.0,2952.9
1953,865.3,308.2,268.6,238.6,432.3,2083.7,193.7,187.7,750.6,185.8,194.1,183.0,166.4,583.0,288.5,157.3,138.8,120.5,108.6,317.8,97.7,65.4,31.6,14.5,2949.0
1954,870.0,305.9,272.1,237.1,426.5,2071.2,189.4,182.2,739.7,182.8,190.6,184.1,169.0,586.7,292.0,154.4,143.6,119.7,109.0,318.3,96.3,65.8,32.1,15.1,2941.2
1955,871.0,302.1,274.6,234.7,419.0,2049.9,184.3,176.1,725.8,179.0,186.2,184.5,170.3,587.4,294.3,150.9,147.8,118.4,109.0,317.7,94.7,65.9,32.4,15.7,2920.9
1956,870.8,298.1,276.6,232.1,411.2,2027.7,179.1,169.8,711.6,175.2,181.9,184.7,172.4,588.3,296.1,147.2,151.8,116.9,108.9,316.6,93.0,65.9,32.6,16.2,2898.5
1957,873.1,299.0,279.4,232.7,407.7,2012.2,175.0,164.9,696.7,170.8,179.0,182.0,173.0,591.2,294.7,149.4,148.8,120.0,107.9,316.6,93.1,65.4,33.5,16.7,2885.3
1958,869.5,297.8,280.3,231.8,401.5,1983.2,169.7,159.1,677.4,165.3,175.0,178.0,172.5,589.8,291.4,150.5,144.7,122.1,106.1,314.5,92.5,64.5,34.3,17.1,2852.7
1959,873.5,299.3,283.6,232.8,398.6,1972.1,165.8,154.8,664.4,161.4,172.5,175.7,173.5,593.9,290.6,153.0,142.1,125.3,105.4,315.2,92.8,64.2,35.2,17.6,2845.6
1960,875.5,300.1,286.2,233.3,395.4,1956.6,162.1,150.0,649.7,157.0,169.7,173.0,174.0,596.4,289.2,155.1,139.1,128.2,104.4,315.1,92.8,63.8,36.1,18.0,2832.1
1961,877.3,300.8,288.8,233.8,391.8,1941.1,158.0,145.4,635.3,152.8,166.8,170.3,174.6,598.9,287.7,157.1,136.1,131.1,103.5,315.1,92.8,63.2,37.0,18.5,2818.3
