year,0 - 4 years,10 - 14 years,15 - 19 years,20 - 24 years,25 - 29 years,30 - 34 years,35 - 39 years,40 - 44 years,45 - 49 years,5 - 9 years,50 - 54 years,55 - 59 years,60 - 64 years,65 - 69 years,70 - 74 years,75 - 79 years,80 - 84 years,85 years and over
1950,310.2,262.1,244.0,208.6,201.1,194.8,199.8,177.9,163.8,278.9,158.4,130.4,121.9,109.3,100.4,64.0,30.1,13.3
1951,312.9,260.9,241.2,202.2,198.4,191.6,200.9,180.3,160.9,281.0,163.0,128.8,122.1,107.5,100.1,64.6,30.9,13.3
1952,310.3,264.6,239.7,197.8,192.9,188.6,197.3,181.5,163.6,284.7,160.0,133.8,121.2,107.9,98.8,64.9,31.3,14.0
1953,308.2,268.6,238.6,193.7,187.7,185.8,194.1,183.0,166.4,288.5,157.3,138.8,120.5,108.6,97.7,65.4,31.6,14.5
1954,305.9,272.1,237.1,189.4,182.2,182.8,190.6,184.1,169.0,292.0,154.4,143.6,119.7,109.0,96.3,65.8,32.1,15.1
1955,302.1,274.6,234.7,184.3,176.1,179.0,186.2,184.5,170.3,294.3,150.9,147.8,118.4,109.0,94.7,65.9,32.4,15.7
1956,298.1,276.6,232.1,179.1,169.8,175.2,181.9,184.7,172.4,296.1,147.2,151.8,116.9,108.9,93.0,65.9,32.6,16.2
1957,299.0,279.4,232.7,175.0,164.9,170.8,179.0,182.0,173.0,294.7,149.4,148.8,120.0,107.9,93.1,65.4,33.5,16.7
1958,297.8,280.3,231.8,169.7,159.1,165.3,175.0,178.0,172.5,291.4,150.5,144.7,122.1,106.1,92.5,64.5,34.3,17.1
1959,299.3,283.6,232.8,165.8,154.8,161.4,172.5,175.7,173.5,290.6,153.0,142.1,125.3,105.4,92.8,64.2,35.2,17.6
1960,300.1,286.2,233.3,162.1,150.0,157.0,169.7,173.0,174.0,289.2,155.1,139.1,128.2,104.4,92.8,63.8,36.1,18.0
1961,300.8,288.8,233.8,158.0,145.4,152.8,166.8,170.3,174.6,287.7,157.1,136.1,131.1,103.5,92.8,63.2,37.0,18.5
1962,303.7,288.0,238.8,163.3,146.1,151.4,164.3,168.9,172.9,289.8,158.6,138.2,129.6,105.5,92.2,63.1,36.8,18.9
1963,307.4,288.0,244.3,169.2,147.2,150.6,162.2,167.9,171.8,292.7,160.5,140.7,128.5,107.9,92.0,63.2,36.6,19.3
1964,310.5,287.4,249.6,174.7,148.1,149.4,159.8,166.6,170.1,295.1,162.1,142.9,127.0,110.1,91.4,63.1,36.3,19.6
1965,313.4,286.6,254.6,180.1,148.8,148.2,157.2,165.2,168.4,297.2,163.7,145.0,125.5,112.3,90.8,63.0,35.9,19.9
1966,315.9,285.5,259.4,185.3,149.3,146.6,154.3,163.4,166.5,299.0,165.0,147.1,123.8,114.2,90.1,62.8,35.6,20.3
1967,315.6,287.6,260.7,191.0,153.9,147.4,153.2,161.2,165.2,302.1,163.6,148.4,125.7,113.7,91.7,62.5,35.8,20.4
1968,314.8,289.6,261.8,196.5,158.1,148.1,151.9,158.8,163.5,305.0,162.2,149.6,127.4,113.0,93.4,62.2,35.8,20.5
1969,313.9,291.6,262.9,202.0,162.5,148.7,150.6,156.3,162.0,307.8,160.7,150.9,129.3,112.3,95.0,62.0,36.0,20.7
1970,314.4,294.8,264.9,208.5,167.5,149.9,149.8,154.5,160.9,312.0,159.8,152.8,131.6,112.2,97.0,62.1,36.3,20.9
