,year,sex,region,0 - 4 years,10 - 14 years,15 - 19 years,20 - 24 years,25 - 29 years,30 - 34 years,35 - 39 years,40 - 44 years,45 - 49 years,5 - 9 years,50 - 54 years,55 - 59 years,60 - 64 years,65 - 69 years,70 - 74 years,75 - 79 years,80 - 84 years,85 years and over,All ages
0,2011,Both sexes,Border,30.7,28.1,25.9,23.8,26.3,29.1,28.7,27.7,26.1,28.4,24.0,22.0,20.2,16.1,12.1,9.7,6.9,6.3,391.9
1,2011,Both sexes,Dublin,93.3,72.8,72.0,93.6,125.9,127.2,103.7,87.4,79.4,78.6,71.4,62.4,55.2,43.3,34.8,27.2,18.7,14.6,1261.5
2,2011,Both sexes,Mid-East,58.5,46.9,40.7,39.7,47.8,56.4,56.9,51.4,45.4,52.4,38.2,33.0,28.7,22.2,15.0,10.8,7.2,6.3,657.4
3,2011,Both sexes,Mid-West,35.0,32.0,29.9,29.3,32.7,36.2,35.3,33.4,31.5,32.4,29.2,26.6,24.4,19.2,14.4,11.2,7.8,6.3,466.8
4,2011,Both sexes,Midland,23.9,20.4,18.1,17.4,21.0,23.0,22.0,20.7,18.8,21.9,17.0,14.9,13.0,10.3,7.6,6.1,4.2,3.5,283.8
5,2011,Both sexes,South-East,32.0,28.5,25.9,24.9,28.2,32.4,31.5,29.9,28.3,30.1,25.3,22.5,20.2,16.7,12.6,9.7,6.3,5.3,410.3
6,2011,Both sexes,South-West,50.1,43.3,40.8,42.0,49.2,54.5,51.6,47.7,45.5,44.9,40.9,36.7,33.0,26.4,20.1,15.8,10.9,8.9,662.3
7,2011,Both sexes,State,356.0,301.0,281.0,298.6,362.9,393.4,363.1,329.3,304.1,319.6,273.7,243.4,217.1,172.1,130.1,101.4,69.8,58.2,4574.9
8,2011,Both sexes,West,32.6,29.0,27.9,28.1,31.7,34.6,33.3,31.2,29.2,30.8,27.7,25.3,22.5,17.9,13.4,10.8,7.8,7.0,440.8
9,2011,Female,Border,15.0,13.6,12.6,11.8,13.4,14.6,14.2,13.6,13.0,13.7,12.0,10.7,9.8,7.7,6.1,5.1,3.9,4.2,194.9
10,2011,Female,Dublin,45.7,35.2,35.1,47.9,65.5,64.3,51.9,43.9,41.1,38.6,36.9,32.5,28.5,22.8,18.9,15.6,11.7,10.3,646.2
11,2011,Female,Mid-East,28.7,22.8,19.8,20.0,25.1,28.8,28.7,25.5,22.5,25.4,19.0,16.4,14.2,11.0,7.7,5.8,4.3,4.4,330.1
