,year,sex,citizenship,value
0,2006,Both sexes,All Countries,36.0
1,2006,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),5.1
2,2006,Both sexes,EU15 to EU27 (accession countries joined post 2004),7.2
3,2006,Both sexes,United Kingdom,2.2
4,2006,Both sexes,Ireland,15.3
5,2006,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",6.2
6,2006,Male,All Countries,18.7
7,2006,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),2.5
8,2006,Male,EU15 to EU27 (accession countries joined post 2004),3.7
9,2006,Male,United Kingdom,1.6
10,2006,Male,Ireland,8.0
11,2006,Male,"All countries excluding Ireland,United Kingdom and EU272020",2.8
12,2006,Female,All Countries,17.3
13,2006,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),2.6
14,2006,Female,EU15 to EU27 (accession countries joined post 2004),3.4
15,2006,Female,United Kingdom,0.6
16,2006,Female,Ireland,7.3
17,2006,Female,"All countries excluding Ireland,United Kingdom and EU272020",3.4
18,2007,Both sexes,All Countries,46.3
19,2007,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),8.9
20,2007,Both sexes,EU15 to EU27 (accession countries joined post 2004),12.6
21,2007,Both sexes,United Kingdom,3.7
22,2007,Both sexes,Ireland,12.9
23,2007,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",8.2
24,2007,Male,All Countries,25.7
25,2007,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),4.3
26,2007,Male,EU15 to EU27 (accession countries joined post 2004),8.4
27,2007,Male,United Kingdom,2.3
28,2007,Male,Ireland,6.1
29,2007,Male,"All countries excluding Ireland,United Kingdom and EU272020",4.6
30,2007,Female,All Countries,20.6
31,2007,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),4.6
32,2007,Female,EU15 to EU27 (accession countries joined post 2004),4.3
33,2007,Female,United Kingdom,1.4
34,2007,Female,Ireland,6.8
35,2007,Female,"All countries excluding Ireland,United Kingdom and EU272020",3.6
36,2008,Both sexes,All Countries,49.2
37,2008,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),6.0
38,2008,Both sexes,EU15 to EU27 (accession countries joined post 2004),17.2
39,2008,Both sexes,United Kingdom,3.7
40,2008,Both sexes,Ireland,13.1
41,2008,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",9.0
42,2008,Male,All Countries,29.6
43,2008,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),2.0
44,2008,Male,EU15 to EU27 (accession countries joined post 2004),12.4
45,2008,Male,United Kingdom,2.5
46,2008,Male,Ireland,7.1
47,2008,Male,"All countries excluding Ireland,United Kingdom and EU272020",5.5
48,2008,Female,All Countries,19.6
49,2008,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),4.0
50,2008,Female,EU15 to EU27 (accession countries joined post 2004),4.8
51,2008,Female,United Kingdom,1.3
52,2008,Female,Ireland,6.0
53,2008,Female,"All countries excluding Ireland,United Kingdom and EU272020",3.5
54,2009,Both sexes,All Countries,72.0
55,2009,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),7.4
56,2009,Both sexes,EU15 to EU27 (accession countries joined post 2004),30.5
57,2009,Both sexes,United Kingdom,3.9
58,2009,Both sexes,Ireland,19.2
59,2009,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",11.0
60,2009,Male,All Countries,41.9
61,2009,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),1.9
62,2009,Male,EU15 to EU27 (accession countries joined post 2004),21.1
63,2009,Male,United Kingdom,2.4
64,2009,Male,Ireland,12.3
65,2009,Male,"All countries excluding Ireland,United Kingdom and EU272020",4.3
66,2009,Female,All Countries,30.1
67,2009,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),5.5
68,2009,Female,EU15 to EU27 (accession countries joined post 2004),9.5
69,2009,Female,United Kingdom,1.5
70,2009,Female,Ireland,6.9
71,2009,Female,"All countries excluding Ireland,United Kingdom and EU272020",6.7
72,2010,Both sexes,All Countries,69.2
73,2010,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),9.0
74,2010,Both sexes,EU15 to EU27 (accession countries joined post 2004),19.0
75,2010,Both sexes,United Kingdom,3.0
76,2010,Both sexes,Ireland,28.9
77,2010,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",9.3
78,2010,Male,All Countries,40.6
79,2010,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),4.0
80,2010,Male,EU15 to EU27 (accession countries joined post 2004),12.8
81,2010,Male,United Kingdom,1.7
82,2010,Male,Ireland,16.7
83,2010,Male,"All countries excluding Ireland,United Kingdom and EU272020",5.4
84,2010,Female,All Countries,28.7
85,2010,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),5.0
86,2010,Female,EU15 to EU27 (accession countries joined post 2004),6.2
87,2010,Female,United Kingdom,1.4
88,2010,Female,Ireland,12.2
89,2010,Female,"All countries excluding Ireland,United Kingdom and EU272020",3.9
90,2011,Both sexes,All Countries,80.6
91,2011,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),10.2
92,2011,Both sexes,EU15 to EU27 (accession countries joined post 2004),13.9
93,2011,Both sexes,United Kingdom,4.6
94,2011,Both sexes,Ireland,42.0
95,2011,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",9.9
96,2011,Male,All Countries,41.9
97,2011,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),3.7
98,2011,Male,EU15 to EU27 (accession countries joined post 2004),6.8
99,2011,Male,United Kingdom,1.8
100,2011,Male,Ireland,24.5
101,2011,Male,"All countries excluding Ireland,United Kingdom and EU272020",5.1
102,2011,Female,All Countries,38.8
103,2011,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),6.6
104,2011,Female,EU15 to EU27 (accession countries joined post 2004),7.1
105,2011,Female,United Kingdom,2.8
106,2011,Female,Ireland,17.5
107,2011,Female,"All countries excluding Ireland,United Kingdom and EU272020",4.8
108,2012,Both sexes,All Countries,83.0
109,2012,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),6.9
110,2012,Both sexes,EU15 to EU27 (accession countries joined post 2004),9.0
111,2012,Both sexes,United Kingdom,6.7
112,2012,Both sexes,Ireland,49.7
113,2012,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",10.7
114,2012,Male,All Countries,45.9
115,2012,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),3.6
116,2012,Male,EU15 to EU27 (accession countries joined post 2004),4.4
117,2012,Male,United Kingdom,3.6
118,2012,Male,Ireland,27.6
119,2012,Male,"All countries excluding Ireland,United Kingdom and EU272020",6.8
120,2012,Female,All Countries,37.1
121,2012,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),3.3
122,2012,Female,EU15 to EU27 (accession countries joined post 2004),4.6
123,2012,Female,United Kingdom,3.2
124,2012,Female,Ireland,22.1
125,2012,Female,"All countries excluding Ireland,United Kingdom and EU272020",3.9
126,2013,Both sexes,All Countries,81.3
127,2013,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),7.2
128,2013,Both sexes,EU15 to EU27 (accession countries joined post 2004),8.2
129,2013,Both sexes,United Kingdom,6.7
130,2013,Both sexes,Ireland,48.3
131,2013,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",10.9
132,2013,Male,All Countries,41.6
133,2013,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),3.3
134,2013,Male,EU15 to EU27 (accession countries joined post 2004),4.0
135,2013,Male,United Kingdom,3.2
136,2013,Male,Ireland,25.1
137,2013,Male,"All countries excluding Ireland,United Kingdom and EU272020",5.9
138,2013,Female,All Countries,39.7
139,2013,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),3.9
140,2013,Female,EU15 to EU27 (accession countries joined post 2004),4.2
141,2013,Female,United Kingdom,3.4
142,2013,Female,Ireland,23.2
143,2013,Female,"All countries excluding Ireland,United Kingdom and EU272020",5.0
144,2014,Both sexes,All Countries,75.0
145,2014,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),6.3
146,2014,Both sexes,EU15 to EU27 (accession countries joined post 2004),7.6
147,2014,Both sexes,United Kingdom,5.8
148,2014,Both sexes,Ireland,45.0
149,2014,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",10.2
150,2014,Male,All Countries,38.3
151,2014,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),2.9
152,2014,Male,EU15 to EU27 (accession countries joined post 2004),3.7
153,2014,Male,United Kingdom,2.7
154,2014,Male,Ireland,23.4
155,2014,Male,"All countries excluding Ireland,United Kingdom and EU272020",5.6
156,2014,Female,All Countries,36.6
157,2014,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),3.4
158,2014,Female,EU15 to EU27 (accession countries joined post 2004),3.9
159,2014,Female,United Kingdom,3.1
160,2014,Female,Ireland,21.6
161,2014,Female,"All countries excluding Ireland,United Kingdom and EU272020",4.6
