,year,country,sex,endpoint,value
0,1987,United Kingdom (1),Both sexes,Net migration,-13.7
1,1987,United Kingdom (1),Both sexes,Emigrants: All destinations,21.8
2,1987,United Kingdom (1),Both sexes,Immigrants: All origins,8.1
3,1987,United Kingdom (1),Male,Net migration,-9.0
4,1987,United Kingdom (1),Male,Emigrants: All destinations,13.1
5,1987,United Kingdom (1),Male,Immigrants: All origins,4.1
6,1987,United Kingdom (1),Female,Net migration,-4.7
7,1987,United Kingdom (1),Female,Emigrants: All destinations,8.7
8,1987,United Kingdom (1),Female,Immigrants: All origins,4.0
9,1987,United States,Both sexes,Net migration,-6.9
10,1987,United States,Both sexes,Emigrants: All destinations,9.9
11,1987,United States,Both sexes,Immigrants: All origins,3.0
12,1987,United States,Male,Net migration,-3.6
13,1987,United States,Male,Emigrants: All destinations,4.8
14,1987,United States,Male,Immigrants: All origins,1.2
15,1987,United States,Female,Net migration,-3.5
16,1987,United States,Female,Emigrants: All destinations,5.2
17,1987,United States,Female,Immigrants: All origins,1.7
18,1987,Canada,Both sexes,Net migration,
19,1987,Canada,Both sexes,Emigrants: All destinations,
20,1987,Canada,Both sexes,Immigrants: All origins,
21,1987,Canada,Male,Net migration,
22,1987,Canada,Male,Emigrants: All destinations,
23,1987,Canada,Male,Immigrants: All origins,
24,1987,Canada,Female,Net migration,
25,1987,Canada,Female,Emigrants: All destinations,
26,1987,Canada,Female,Immigrants: All origins,
27,1987,Australia,Both sexes,Net migration,
28,1987,Australia,Both sexes,Emigrants: All destinations,
29,1987,Australia,Both sexes,Immigrants: All origins,
30,1987,Australia,Male,Net migration,
31,1987,Australia,Male,Emigrants: All destinations,
32,1987,Australia,Male,Immigrants: All origins,
33,1987,Australia,Female,Net migration,
34,1987,Australia,Female,Emigrants: All destinations,
35,1987,Australia,Female,Immigrants: All origins,
36,1987,Other countries (23),Both sexes,Net migration,-1.4
37,1987,Other countries (23),Both sexes,Emigrants: All destinations,5.4
38,1987,Other countries (23),Both sexes,Immigrants: All origins,4.0
39,1987,Other countries (23),Male,Net migration,-0.8
40,1987,Other countries (23),Male,Emigrants: All destinations,2.6
41,1987,Other countries (23),Male,Immigrants: All origins,1.8
42,1987,Other countries (23),Female,Net migration,0.6
43,1987,Other countries (23),Female,Emigrants: All destinations,2.8
44,1987,Other countries (23),Female,Immigrants: All origins,2.2
45,1987,All countries,Both sexes,Net migration,-23.0
46,1987,All countries,Both sexes,Emigrants: All destinations,40.2
47,1987,All countries,Both sexes,Immigrants: All origins,17.2
48,1987,All countries,Male,Net migration,-13.6
49,1987,All countries,Male,Emigrants: All destinations,
50,1987,All countries,Male,Immigrants: All origins,
51,1987,All countries,Female,Net migration,-15.1
52,1987,All countries,Female,Emigrants: All destinations,
53,1987,All countries,Female,Immigrants: All origins,
54,1987,EU14 excl Irl (UK & Ireland),Both sexes,Net migration,-0.9
55,1987,EU14 excl Irl (UK & Ireland),Both sexes,Emigrants: All destinations,3.1
56,1987,EU14 excl Irl (UK & Ireland),Both sexes,Immigrants: All origins,2.2
57,1987,EU14 excl Irl (UK & Ireland),Male,Net migration,-0.2
58,1987,EU14 excl Irl (UK & Ireland),Male,Emigrants: All destinations,1.2
59,1987,EU14 excl Irl (UK & Ireland),Male,Immigrants: All origins,1.0
60,1987,EU14 excl Irl (UK & Ireland),Female,Net migration,-7.5
61,1987,EU14 excl Irl (UK & Ireland),Female,Emigrants: All destinations,1.9
62,1987,EU14 excl Irl (UK & Ireland),Female,Immigrants: All origins,1.2
63,1987,EU15 to EU27 (accession countries joined post 2004),Both sexes,Net migration,
64,1987,EU15 to EU27 (accession countries joined post 2004),Both sexes,Emigrants: All destinations,
65,1987,EU15 to EU27 (accession countries joined post 2004),Both sexes,Immigrants: All origins,
66,1987,EU15 to EU27 (accession countries joined post 2004),Male,Net migration,
67,1987,EU15 to EU27 (accession countries joined post 2004),Male,Emigrants: All destinations,
68,1987,EU15 to EU27 (accession countries joined post 2004),Male,Immigrants: All origins,
69,1987,EU15 to EU27 (accession countries joined post 2004),Female,Net migration,
70,1987,EU15 to EU27 (accession countries joined post 2004),Female,Emigrants: All destinations,
71,1987,EU15 to EU27 (accession countries joined post 2004),Female,Immigrants: All origins,
72,1988,United Kingdom (1),Both sexes,Net migration,-30.3
73,1988,United Kingdom (1),Both sexes,Emigrants: All destinations,40.2
74,1988,United Kingdom (1),Both sexes,Immigrants: All origins,9.9
75,1988,United Kingdom (1),Male,Net migration,-18.1
76,1988,United Kingdom (1),Male,Emigrants: All destinations,23.5
77,1988,United Kingdom (1),Male,Immigrants: All origins,5.4
78,1988,United Kingdom (1),Female,Net migration,-12.2
79,1988,United Kingdom (1),Female,Emigrants: All destinations,16.7
80,1988,United Kingdom (1),Female,Immigrants: All origins,4.5
81,1988,United States,Both sexes,Net migration,-4.5
82,1988,United States,Both sexes,Emigrants: All destinations,7.9
83,1988,United States,Both sexes,Immigrants: All origins,3.4
84,1988,United States,Male,Net migration,-2.1
85,1988,United States,Male,Emigrants: All destinations,3.8
86,1988,United States,Male,Immigrants: All origins,1.7
87,1988,United States,Female,Net migration,-2.5
88,1988,United States,Female,Emigrants: All destinations,4.2
89,1988,United States,Female,Immigrants: All origins,1.7
90,1988,Canada,Both sexes,Net migration,
91,1988,Canada,Both sexes,Emigrants: All destinations,
92,1988,Canada,Both sexes,Immigrants: All origins,
93,1988,Canada,Male,Net migration,
