,year,sex,citizenship,value
0,2006,Both sexes,All Countries,4232.9
1,2006,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),43.8
2,2006,Both sexes,EU15 to EU27 (accession countries joined post 2004),132.5
3,2006,Both sexes,United Kingdom,115.5
4,2006,Both sexes,Ireland,3802.4
5,2006,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",138.8
6,2006,Male,All Countries,2117.3
7,2006,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),21.3
8,2006,Male,EU15 to EU27 (accession countries joined post 2004),79.9
9,2006,Male,United Kingdom,57.8
10,2006,Male,Ireland,1887.4
11,2006,Male,"All countries excluding Ireland,United Kingdom and EU272020",70.9
12,2006,Female,All Countries,2115.6
13,2006,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),22.5
14,2006,Female,EU15 to EU27 (accession countries joined post 2004),52.6
15,2006,Female,United Kingdom,57.7
16,2006,Female,Ireland,1914.9
17,2006,Female,"All countries excluding Ireland,United Kingdom and EU272020",67.9
18,2007,Both sexes,All Countries,4375.8
19,2007,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),47.0
20,2007,Both sexes,EU15 to EU27 (accession countries joined post 2004),207.6
21,2007,Both sexes,United Kingdom,115.5
22,2007,Both sexes,Ireland,3856.2
23,2007,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",149.6
24,2007,Male,All Countries,2191.3
25,2007,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),21.8
26,2007,Male,EU15 to EU27 (accession countries joined post 2004),120.3
27,2007,Male,United Kingdom,57.6
28,2007,Male,Ireland,1915.7
29,2007,Male,"All countries excluding Ireland,United Kingdom and EU272020",75.9
30,2007,Female,All Countries,2184.6
31,2007,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),25.2
32,2007,Female,EU15 to EU27 (accession countries joined post 2004),87.4
33,2007,Female,United Kingdom,57.9
34,2007,Female,Ireland,1940.5
35,2007,Female,"All countries excluding Ireland,United Kingdom and EU272020",73.7
36,2008,Both sexes,All Countries,4485.1
37,2008,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),50.8
38,2008,Both sexes,EU15 to EU27 (accession countries joined post 2004),247.7
39,2008,Both sexes,United Kingdom,117.9
40,2008,Both sexes,Ireland,3909.5
41,2008,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",159.2
42,2008,Male,All Countries,2238.6
43,2008,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),23.7
44,2008,Male,EU15 to EU27 (accession countries joined post 2004),133.9
45,2008,Male,United Kingdom,58.9
46,2008,Male,Ireland,1942.3
47,2008,Male,"All countries excluding Ireland,United Kingdom and EU272020",79.8
48,2008,Female,All Countries,2246.5
49,2008,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),27.1
50,2008,Female,EU15 to EU27 (accession countries joined post 2004),113.8
51,2008,Female,United Kingdom,59.0
52,2008,Female,Ireland,1967.2
53,2008,Female,"All countries excluding Ireland,United Kingdom and EU272020",79.5
54,2009,Both sexes,All Countries,4533.4
55,2009,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),55.3
56,2009,Both sexes,EU15 to EU27 (accession countries joined post 2004),240.8
57,2009,Both sexes,United Kingdom,117.1
58,2009,Both sexes,Ireland,3958.0
59,2009,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",162.2
60,2009,Male,All Countries,2257.3
61,2009,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),25.5
62,2009,Male,EU15 to EU27 (accession countries joined post 2004),124.8
63,2009,Male,United Kingdom,58.3
64,2009,Male,Ireland,1966.4
65,2009,Male,"All countries excluding Ireland,United Kingdom and EU272020",82.3
66,2009,Female,All Countries,2276.1
67,2009,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),29.7
68,2009,Female,EU15 to EU27 (accession countries joined post 2004),116.0
69,2009,Female,United Kingdom,58.8
70,2009,Female,Ireland,1991.6
71,2009,Female,"All countries excluding Ireland,United Kingdom and EU272020",79.9
72,2010,Both sexes,All Countries,4554.8
73,2010,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),52.4
74,2010,Both sexes,EU15 to EU27 (accession countries joined post 2004),233.0
75,2010,Both sexes,United Kingdom,115.9
76,2010,Both sexes,Ireland,3994.7
77,2010,Both sexes,"All countries excluding Ireland,United Kingdom and EU272020",158.7
78,2010,Male,All Countries,2262.2
79,2010,Male,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),24.0
80,2010,Male,EU15 to EU27 (accession countries joined post 2004),117.6
81,2010,Male,United Kingdom,57.7
82,2010,Male,Ireland,1983.3
83,2010,Male,"All countries excluding Ireland,United Kingdom and EU272020",79.6
84,2010,Female,All Countries,2292.6
85,2010,Female,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),28.4
86,2010,Female,EU15 to EU27 (accession countries joined post 2004),115.5
87,2010,Female,United Kingdom,58.2
88,2010,Female,Ireland,2011.4
89,2010,Female,"All countries excluding Ireland,United Kingdom and EU272020",79.1
90,2011,Both sexes,All Countries,4574.9
91,2011,Both sexes,EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland),49.4
92,2011,Both sexes,EU15 to EU27 (accession countries joined post 2004),231.5
93,2011,Both sexes,United Kingdom,114.9
