,year,component,value
0,1951,Annual births,
1,1951,Annual deaths,
2,1951,Natural increase,26.6
3,1951,Immigrants,
4,1951,Emigrants,
5,1951,Net migration,-35.0
6,1951,Population change,-8.4
7,1951,Population,2960.6
8,1952,Annual births,
9,1952,Annual deaths,
10,1952,Natural increase,27.3
11,1952,Immigrants,
12,1952,Emigrants,
13,1952,Net migration,-35.0
14,1952,Population change,-7.7
15,1952,Population,2952.9
16,1953,Annual births,
17,1953,Annual deaths,
18,1953,Natural increase,29.1
19,1953,Immigrants,
20,1953,Emigrants,
21,1953,Net migration,-33.0
22,1953,Population change,-3.9
23,1953,Population,2949.0
24,1954,Annual births,
25,1954,Annual deaths,
26,1954,Natural increase,28.2
27,1954,Immigrants,
28,1954,Emigrants,
29,1954,Net migration,-36.0
30,1954,Population change,-7.8
31,1954,Population,2941.2
32,1955,Annual births,
33,1955,Annual deaths,
34,1955,Natural increase,24.7
35,1955,Immigrants,
36,1955,Emigrants,
37,1955,Net migration,-45.0
38,1955,Population change,-20.3
39,1955,Population,2920.9
40,1956,Annual births,
41,1956,Annual deaths,
42,1956,Natural increase,25.6
43,1956,Immigrants,
44,1956,Emigrants,
45,1956,Net migration,-48.0
46,1956,Population change,-22.4
47,1956,Population,2898.5
48,1957,Annual births,
49,1957,Annual deaths,
50,1957,Natural increase,27.8
51,1957,Immigrants,
52,1957,Emigrants,
53,1957,Net migration,-41.0
54,1957,Population change,-13.2
55,1957,Population,2885.3
56,1958,Annual births,
57,1958,Annual deaths,
58,1958,Natural increase,25.4
59,1958,Immigrants,
60,1958,Emigrants,
61,1958,Net migration,-58.0
62,1958,Population change,-32.6
63,1958,Population,2852.7
64,1959,Annual births,
65,1959,Annual deaths,
66,1959,Natural increase,24.9
67,1959,Immigrants,
68,1959,Emigrants,
69,1959,Net migration,-32.0
70,1959,Population change,-7.1
71,1959,Population,2845.6
72,1960,Annual births,
73,1960,Annual deaths,
74,1960,Natural increase,27.5
75,1960,Immigrants,
