year,0 - 14 years_emigrants,15 - 24 years_emigrants,25 - 44 years_emigrants,45 - 64 years_emigrants,65 years and over_emigrants,All ages_emigrants,0 - 14 years_immigrants,15 - 24 years_immigrants,25 - 44 years_immigrants,45 - 64 years_immigrants,65 years and over_immigrants,All ages_immigrants,0 - 14 years_migration,15 - 24 years_migration,25 - 44 years_migration,45 - 64 years_migration,65 years and over_migration,All ages_migration,Unnamed: 0_x,sex,0 - 14 years,1 - 4 years,15 - 24 years,15 years and over,25 - 44 years,45 - 64 years,65 years and over,All ages,Under 1 year,Unnamed: 0_y,index,endpoint,All countries,Australia,Canada,EU14_excl_Irl_UK,EU15_to_27,other_countries_23,UK,USA
1987,5.5,48.0,23.6,3.4,0.0,40.2,6.2,10.2,12.2,3.6,2.2,17.2,0.7000000000000005,-37.8,-11.400000000000002,0.2,2.2,-23.0,111,Both sexes,1014.4,255.1,615.8,2532.1,936.0,592.1,388.2,3546.5,60.2,0,0,Emigrants: All destinations,40.2,10.4,1.1,3.1,0.0,5.4,21.8,9.9
1987,5.5,48.0,23.6,3.4,0.0,40.2,6.2,10.2,12.2,3.6,2.2,17.2,0.7000000000000005,-37.8,-11.400000000000002,0.2,2.2,-23.0,111,Both sexes,1014.4,255.1,615.8,2532.1,936.0,592.1,388.2,3546.5,60.2,1,1,Immigrants: All origins,17.2,10.4,1.1,2.2,0.0,4.0,8.1,3.0
1987,5.5,48.0,23.6,3.4,0.0,40.2,6.2,10.2,12.2,3.6,2.2,17.2,0.7000000000000005,-37.8,-11.400000000000002,0.2,2.2,-23.0,111,Both sexes,1014.4,255.1,615.8,2532.1,936.0,592.1,388.2,3546.5,60.2,2,2,Net migration,-23.0,10.4,1.1,-0.9,0.0,-1.4,-13.7,-6.9
1987,5.5,48.0,23.6,3.4,0.0,40.2,6.2,10.2,12.2,3.6,2.2,17.2,0.7000000000000005,-37.8,-11.400000000000002,0.2,2.2,-23.0,112,Female,493.9,124.3,302.8,1282.3,465.2,295.8,218.5,1776.2,29.0,3,3,Emigrants: All destinations,-20.366666666666667,10.4,1.1,1.9,0.0,2.8,8.7,5.2
1987,5.5,48.0,23.6,3.4,0.0,40.2,6.2,10.2,12.2,3.6,2.2,17.2,0.7000000000000005,-37.8,-11.400000000000002,0.2,2.2,-23.0,112,Female,493.9,124.3,302.8,1282.3,465.2,295.8,218.5,1776.2,29.0,4,4,Immigrants: All origins,-17.733333333333334,10.4,1.1,1.2,0.0,2.2,4.0,1.7
1987,5.5,48.0,23.6,3.4,0.0,40.2,6.2,10.2,12.2,3.6,2.2,17.2,0.7000000000000005,-37.8,-11.400000000000002,0.2,2.2,-23.0,112,Female,493.9,124.3,302.8,1282.3,465.2,295.8,218.5,1776.2,29.0,5,5,Net migration,-15.1,10.4,1.1,-7.5,0.0,0.6,-4.7,-3.5
1987,5.5,48.0,23.6,3.4,0.0,40.2,6.2,10.2,12.2,3.6,2.2,17.2,0.7000000000000005,-37.8,-11.400000000000002,0.2,2.2,-23.0,113,Male,520.5,130.8,313.0,1249.6,470.7,296.2,169.7,1770.3,31.2,6,6,Emigrants: All destinations,-14.6,10.4,1.1,1.2,0.0,2.6,13.1,4.8
1987,5.5,48.0,23.6,3.4,0.0,40.2,6.2,10.2,12.2,3.6,2.2,17.2,0.7000000000000005,-37.8,-11.400000000000002,0.2,2.2,-23.0,113,Male,520.5,130.8,313.0,1249.6,470.7,296.2,169.7,1770.3,31.2,7,7,Immigrants: All origins,-14.1,10.4,1.1,1.0,0.0,1.8,4.1,1.2
1987,5.5,48.0,23.6,3.4,0.0,40.2,6.2,10.2,12.2,3.6,2.2,17.2,0.7000000000000005,-37.8,-11.400000000000002,0.2,2.2,-23.0,113,Male,520.5,130.8,313.0,1249.6,470.7,296.2,169.7,1770.3,31.2,8,8,Net migration,-13.6,10.4,1.1,-0.2,0.0,-0.8,-9.0,-3.6
1988,16.6,62.5,36.6,6.4,0.0,61.1,6.0,10.8,14.4,4.300000000000001,2.8,19.2,-10.600000000000001,-51.7,-22.2,-2.1,2.8,-41.9,114,Both sexes,993.9,246.4,608.8,2536.9,939.3,595.6,393.2,3530.7,57.3,9,9,Emigrants: All destinations,61.1,10.4,1.1,2.8,0.0,10.2,40.2,7.9
1988,16.6,62.5,36.6,6.4,0.0,61.1,6.0,10.8,14.4,4.300000000000001,2.8,19.2,-10.600000000000001,-51.7,-22.2,-2.1,2.8,-41.9,114,Both sexes,993.9,246.4,608.8,2536.9,939.3,595.6,393.2,3530.7,57.3,10,10,Immigrants: All origins,19.2,10.4,1.1,2.6,0.0,3.4,9.9,3.4
