,year,age_group,sex,migration,value
0,1987,All ages,Both sexes,Net migration,-23.0
1,1987,All ages,Both sexes,Emigrants: All destinations,40.2
2,1987,All ages,Both sexes,Immigrants: All origins,17.2
3,1987,All ages,Male,Net migration,
4,1987,All ages,Male,Emigrants: All destinations,
5,1987,All ages,Male,Immigrants: All origins,
6,1987,All ages,Female,Net migration,
7,1987,All ages,Female,Emigrants: All destinations,
8,1987,All ages,Female,Immigrants: All origins,
9,1987,0 - 14 years,Both sexes,Net migration,
10,1987,0 - 14 years,Both sexes,Emigrants: All destinations,2.8
11,1987,0 - 14 years,Both sexes,Immigrants: All origins,3.1
12,1987,0 - 14 years,Male,Net migration,
13,1987,0 - 14 years,Male,Emigrants: All destinations,1.4
14,1987,0 - 14 years,Male,Immigrants: All origins,1.3
15,1987,0 - 14 years,Female,Net migration,
16,1987,0 - 14 years,Female,Emigrants: All destinations,1.3
17,1987,0 - 14 years,Female,Immigrants: All origins,1.8
18,1987,15 - 24 years,Both sexes,Net migration,
19,1987,15 - 24 years,Both sexes,Emigrants: All destinations,24.0
20,1987,15 - 24 years,Both sexes,Immigrants: All origins,5.1
21,1987,15 - 24 years,Male,Net migration,
22,1987,15 - 24 years,Male,Emigrants: All destinations,12.3
23,1987,15 - 24 years,Male,Immigrants: All origins,1.9
24,1987,15 - 24 years,Female,Net migration,
25,1987,15 - 24 years,Female,Emigrants: All destinations,11.7
26,1987,15 - 24 years,Female,Immigrants: All origins,3.2
27,1987,25 - 44 years,Both sexes,Net migration,
28,1987,25 - 44 years,Both sexes,Emigrants: All destinations,11.8
29,1987,25 - 44 years,Both sexes,Immigrants: All origins,6.1
30,1987,25 - 44 years,Male,Net migration,
31,1987,25 - 44 years,Male,Emigrants: All destinations,6.9
32,1987,25 - 44 years,Male,Immigrants: All origins,3.4
33,1987,25 - 44 years,Female,Net migration,
34,1987,25 - 44 years,Female,Emigrants: All destinations,4.9
35,1987,25 - 44 years,Female,Immigrants: All origins,2.7
36,1987,45 - 64 years,Both sexes,Net migration,
37,1987,45 - 64 years,Both sexes,Emigrants: All destinations,1.7
38,1987,45 - 64 years,Both sexes,Immigrants: All origins,1.8
39,1987,45 - 64 years,Male,Net migration,
40,1987,45 - 64 years,Male,Emigrants: All destinations,1.0
41,1987,45 - 64 years,Male,Immigrants: All origins,1.0
42,1987,45 - 64 years,Female,Net migration,
43,1987,45 - 64 years,Female,Emigrants: All destinations,0.7
44,1987,45 - 64 years,Female,Immigrants: All origins,0.8
45,1987,65 years and over,Both sexes,Net migration,
46,1987,65 years and over,Both sexes,Emigrants: All destinations,0.0
47,1987,65 years and over,Both sexes,Immigrants: All origins,1.1
48,1987,65 years and over,Male,Net migration,
49,1987,65 years and over,Male,Emigrants: All destinations,0.0
50,1987,65 years and over,Male,Immigrants: All origins,0.5
51,1987,65 years and over,Female,Net migration,
52,1987,65 years and over,Female,Emigrants: All destinations,0.0
53,1987,65 years and over,Female,Immigrants: All origins,0.6
54,1988,All ages,Both sexes,Net migration,-41.9
55,1988,All ages,Both sexes,Emigrants: All destinations,61.1
56,1988,All ages,Both sexes,Immigrants: All origins,19.2
57,1988,All ages,Male,Net migration,
58,1988,All ages,Male,Emigrants: All destinations,
59,1988,All ages,Male,Immigrants: All origins,
60,1988,All ages,Female,Net migration,
61,1988,All ages,Female,Emigrants: All destinations,
62,1988,All ages,Female,Immigrants: All origins,
63,1988,0 - 14 years,Both sexes,Net migration,
64,1988,0 - 14 years,Both sexes,Emigrants: All destinations,8.3
65,1988,0 - 14 years,Both sexes,Immigrants: All origins,3.0
66,1988,0 - 14 years,Male,Net migration,
67,1988,0 - 14 years,Male,Emigrants: All destinations,4.3
68,1988,0 - 14 years,Male,Immigrants: All origins,1.5
69,1988,0 - 14 years,Female,Net migration,
70,1988,0 - 14 years,Female,Emigrants: All destinations,4.0
71,1988,0 - 14 years,Female,Immigrants: All origins,1.5
72,1988,15 - 24 years,Both sexes,Net migration,
73,1988,15 - 24 years,Both sexes,Emigrants: All destinations,31.2
74,1988,15 - 24 years,Both sexes,Immigrants: All origins,5.4
75,1988,15 - 24 years,Male,Net migration,
76,1988,15 - 24 years,Male,Emigrants: All destinations,17.0
77,1988,15 - 24 years,Male,Immigrants: All origins,2.4
78,1988,15 - 24 years,Female,Net migration,
79,1988,15 - 24 years,Female,Emigrants: All destinations,14.3
80,1988,15 - 24 years,Female,Immigrants: All origins,3.0
81,1988,25 - 44 years,Both sexes,Net migration,
82,1988,25 - 44 years,Both sexes,Emigrants: All destinations,18.3
83,1988,25 - 44 years,Both sexes,Immigrants: All origins,7.2
84,1988,25 - 44 years,Male,Net migration,
85,1988,25 - 44 years,Male,Emigrants: All destinations,11.0
86,1988,25 - 44 years,Male,Immigrants: All origins,4.0
87,1988,25 - 44 years,Female,Net migration,
88,1988,25 - 44 years,Female,Emigrants: All destinations,7.3
89,1988,25 - 44 years,Female,Immigrants: All origins,3.2
90,1988,45 - 64 years,Both sexes,Net migration,
91,1988,45 - 64 years,Both sexes,Emigrants: All destinations,3.2
92,1988,45 - 64 years,Both sexes,Immigrants: All origins,2.2
93,1988,45 - 64 years,Male,Net migration,
94,1988,45 - 64 years,Male,Emigrants: All destinations,1.6
95,1988,45 - 64 years,Male,Immigrants: All origins,1.1
96,1988,45 - 64 years,Female,Net migration,
97,1988,45 - 64 years,Female,Emigrants: All destinations,1.6
98,1988,45 - 64 years,Female,Immigrants: All origins,1.0
99,1988,65 years and over,Both sexes,Net migration,
100,1988,65 years and over,Both sexes,Emigrants: All destinations,0.0
101,1988,65 years and over,Both sexes,Immigrants: All origins,1.4
102,1988,65 years and over,Male,Net migration,
103,1988,65 years and over,Male,Emigrants: All destinations,0.0
104,1988,65 years and over,Male,Immigrants: All origins,0.9
105,1988,65 years and over,Female,Net migration,
106,1988,65 years and over,Female,Emigrants: All destinations,0.0
107,1988,65 years and over,Female,Immigrants: All origins,0.5
108,1989,All ages,Both sexes,Net migration,-43.9
109,1989,All ages,Both sexes,Emigrants: All destinations,70.6
110,1989,All ages,Both sexes,Immigrants: All origins,26.7
111,1989,All ages,Male,Net migration,
112,1989,All ages,Male,Emigrants: All destinations,
113,1989,All ages,Male,Immigrants: All origins,
114,1989,All ages,Female,Net migration,
115,1989,All ages,Female,Emigrants: All destinations,
116,1989,All ages,Female,Immigrants: All origins,
117,1989,0 - 14 years,Both sexes,Net migration,
118,1989,0 - 14 years,Both sexes,Emigrants: All destinations,7.8
119,1989,0 - 14 years,Both sexes,Immigrants: All origins,4.4
120,1989,0 - 14 years,Male,Net migration,
121,1989,0 - 14 years,Male,Emigrants: All destinations,4.1
122,1989,0 - 14 years,Male,Immigrants: All origins,2.3
