Unnamed: 0,year,0 - 14 years,15 - 24 years,15 years and over,25 - 44 years,45 - 64 years,65 years and over,All ages,sex_Both sexes,sex_Female,sex_Male
0,1950,851.2,452.6,2117.8,773.6,574.5,317.1,2969.0,1,0,0
1,1950,416.6,217.7,1042.4,380.2,283.2,161.3,1459.0,0,1,0
2,1950,434.6,234.9,1075.4,393.4,291.3,155.8,1510.0,0,0,1
3,1951,854.8,443.4,2105.8,771.2,574.8,316.4,2960.6,1,0,0
4,1951,418.4,212.2,1035.6,378.9,283.1,161.4,1454.0,0,1,0
5,1951,436.4,231.1,1070.2,392.3,291.7,155.0,1506.6,0,0,1
6,1952,859.6,437.5,2093.3,760.3,578.6,316.9,2952.9,1,0,0
7,1952,420.8,209.7,1031.2,375.1,284.8,161.6,1452.0,0,1,0
8,1952,438.8,227.8,1062.1,385.2,293.8,155.3,1500.9,0,0,1
9,1953,865.3,432.3,2083.7,750.6,583.0,317.8,2949.0,1,0,0
10,1953,423.4,207.4,1027.7,371.8,286.6,161.9,1451.1,0,1,0
11,1953,441.9,224.9,1056.0,378.8,296.4,155.9,1497.9,0,0,1
12,1954,870.0,426.5,2071.2,739.7,586.7,318.3,2941.2,1,0,0
13,1954,425.6,204.8,1022.6,367.8,288.0,162.0,1448.2,0,1,0
14,1954,444.4,221.7,1048.6,371.9,298.7,156.3,1493.0,0,0,1
15,1955,871.0,419.0,2049.9,725.8,587.4,317.7,2920.9,1,0,0
16,1955,426.8,201.8,1015.0,363.0,288.3,161.9,1441.8,0,1,0
17,1955,444.2,217.2,1034.9,362.8,299.1,155.8,1479.1,0,0,1
18,1956,870.8,411.2,2027.7,711.6,588.3,316.6,2898.5,1,0,0
19,1956,427.6,198.8,1007.8,358.2,289.3,161.5,1435.4,0,1,0
20,1956,443.2,212.4,1019.9,353.4,299.0,155.1,1463.1,0,0,1
21,1957,873.1,407.7,2012.2,696.7,591.2,316.6,2885.3,1,0,0
22,1957,428.0,197.3,1001.2,350.8,290.7,162.4,1429.2,0,1,0
23,1957,445.1,210.4,1011.0,345.9,300.5,154.2,1456.1,0,0,1
24,1958,869.5,401.5,1983.2,677.4,589.8,314.5,2852.7,1,0,0
25,1958,425.6,194.6,988.2,341.3,290.0,162.3,1413.8,0,1,0
26,1958,443.9,206.9,995.0,336.1,299.8,152.2,1438.9,0,0,1
27,1959,873.5,398.6,1972.1,664.4,593.9,315.2,2845.6,1,0,0
28,1959,426.9,193.6,984.1,334.9,292.0,163.6,1411.0,0,1,0
29,1959,446.6,205.0,988.0,329.5,301.9,151.6,1434.6,0,0,1
30,1960,875.5,395.4,1956.6,649.7,596.4,315.1,2832.1,1,0,0
31,1960,427.3,192.2,977.7,327.8,293.3,164.4,1405.0,0,1,0
32,1960,448.2,203.2,978.9,321.9,303.1,150.7,1427.1,0,0,1
33,1961,877.3,391.8,1941.1,635.3,598.9,315.1,2818.3,1,0,0
34,1961,428.5,191.1,973.3,321.3,295.2,165.8,1401.8,0,1,0
35,1961,448.7,200.8,967.8,314.0,303.8,149.3,1416.5,0,0,1
36,1962,881.5,402.1,1948.6,630.7,599.3,316.5,2830.1,1,0,0
37,1962,430.6,196.0,976.7,318.3,295.3,167.1,1407.3,0,1,0
38,1962,450.9,206.1,971.9,312.4,304.0,149.4,1422.8,0,0,1
39,1963,888.1,413.5,1961.9,627.9,601.5,319.0,2850.0,1,0,0
40,1963,434.1,201.5,983.2,316.3,296.4,169.0,1417.3,0,1,0
41,1963,454.0,212.0,978.7,311.6,305.1,150.0,1432.7,0,0,1
42,1964,893.0,424.3,1970.8,623.9,602.1,320.5,2863.8,1,0,0
43,1964,436.7,206.7,987.3,313.6,296.6,170.4,1424.0,0,1,0
44,1964,456.3,217.6,983.5,310.3,305.5,150.1,1439.8,0,0,1
45,1965,897.2,434.7,1978.6,619.4,602.6,321.9,2875.8,1,0,0
46,1965,438.9,211.7,991.1,310.7,296.9,171.8,1430.0,0,1,0
47,1965,458.3,223.0,987.5,308.7,305.7,150.1,1445.8,0,0,1
48,1966,900.4,444.6,1983.6,613.6,602.4,323.0,2884.0,1,0,0
49,1966,441.0,216.6,994.0,307.4,297.0,173.1,1435.0,0,1,0
50,1966,459.4,228.1,989.6,306.2,305.4,149.9,1449.0,0,0,1
51,1967,905.3,451.7,1994.4,615.7,602.9,324.1,2899.7,1,0,0
52,1967,443.2,220.2,999.5,307.6,297.5,174.2,1442.7,0,1,0
53,1967,462.1,231.5,994.9,308.1,305.4,149.9,1457.0,0,0,1
54,1968,909.4,458.3,2002.8,616.9,602.7,324.9,2912.2,1,0,0
55,1968,445.1,223.5,1003.6,307.2,297.9,175.0,1448.7,0,1,0
56,1968,464.3,234.8,999.2,309.7,304.8,149.9,1463.5,0,0,1
57,1969,913.3,464.9,2011.9,618.1,602.9,326.0,2925.2,1,0,0
58,1969,447.0,227.0,1008.2,307.1,298.3,175.8,1455.2,0,1,0
59,1969,466.3,237.9,1003.7,311.0,304.6,150.2,1470.0,0,0,1
60,1970,921.2,473.4,2028.7,621.7,605.1,328.5,2949.9,1,0,0
61,1970,450.6,231.3,1017.4,308.2,300.0,177.9,1468.0,0,1,0
62,1970,470.6,242.1,1011.3,313.5,305.1,150.6,1481.9,0,0,1
63,1971,931.2,483.0,2047.1,626.2,608.1,329.8,2978.2,1,0,0
64,1971,455.4,236.2,1027.1,309.7,302.0,179.2,1482.5,0,1,0
65,1971,475.8,246.7,1020.0,316.5,306.1,150.6,1495.8,0,0,1
66,1972,943.1,494.7,2081.6,646.0,607.3,333.6,3024.4,1,0,0
67,1972,461.0,242.0,1044.3,318.9,301.9,181.5,1505.3,0,1,0
68,1972,482.0,252.7,1037.0,327.0,305.3,152.0,1519.1,0,0,1
69,1973,955.5,506.9,2117.4,666.6,606.3,337.6,3073.0,1,0,0
70,1973,467.0,248.0,1062.4,328.6,301.8,184.0,1529.3,0,1,0
71,1973,488.6,258.9,1055.0,337.9,304.6,153.6,1543.7,0,0,1
72,1974,968.8,519.6,2155.0,688.1,605.6,341.7,3123.9,1,0,0
73,1974,473.3,254.3,1080.9,338.6,301.7,186.3,1554.4,0,1,0
74,1974,495.5,265.4,1073.8,349.3,303.9,155.2,1569.5,0,0,1
75,1975,982.7,533.0,2194.6,710.4,605.2,346.0,3177.2,1,0,0
76,1975,479.8,260.8,1100.5,349.0,301.8,188.9,1580.3,0,1,0
77,1975,502.9,272.2,1094.1,361.4,303.4,157.1,1597.0,0,0,1
78,1976,995.4,545.8,2232.3,732.4,603.9,350.2,3227.8,1,0,0
79,1976,485.7,267.0,1119.2,359.2,301.5,191.5,1605.0,0,1,0
80,1976,509.7,278.8,1113.1,373.2,302.4,158.7,1622.9,0,0,1
81,1977,1006.0,557.8,2265.9,753.3,601.1,353.7,3271.9,1,0,0
82,1977,490.9,272.9,1136.0,369.0,300.4,193.7,1626.9,0,1,0
83,1977,515.1,284.9,1129.9,384.3,300.7,160.0,1645.0,0,0,1
84,1978,1016.1,569.5,2298.0,773.9,597.7,356.9,3314.0,1,0,0
85,1978,495.8,278.8,1152.5,378.7,299.1,195.9,1648.0,0,1,0
86,1978,520.3,290.7,1145.6,395.2,298.5,161.2,1666.0,0,0,1
87,1979,1029.9,583.6,2338.3,797.4,595.9,361.4,3368.2,1,0,0
88,1979,502.9,285.6,1172.1,389.5,298.6,198.4,1674.9,0,1,0
89,1979,527.0,298.1,1166.2,407.9,297.3,163.0,1693.3,0,0,1
90,1980,1035.4,592.2,2365.8,816.3,592.5,364.8,3401.0,1,0,0
91,1980,504.9,290.1,1187.1,399.4,296.9,200.7,1692.0,0,1,0
92,1980,530.6,302.2,1178.4,416.9,295.5,163.8,1709.0,0,0,1
93,1981,1043.7,602.6,2399.7,837.8,590.4,369.0,3443.4,1,0,0
94,1981,508.3,295.4,1205.7,410.5,296.0,203.8,1714.1,0,1,0
95,1981,535.4,307.1,1193.9,427.3,294.4,165.2,1729.4,0,0,1
96,1982,1045.4,608.8,2434.6,858.8,593.2,373.8,3480.0,1,0,0
97,1982,509.1,298.7,1224.9,421.7,297.4,207.1,1734.0,0,1,0
98,1982,536.3,310.1,1209.7,437.1,295.8,166.7,1746.0,0,0,1
99,1983,1043.0,612.5,2461.0,876.8,594.4,377.3,3504.0,1,0,0
100,1983,508.0,300.6,1239.7,431.6,297.8,209.7,1747.7,0,1,0
101,1983,535.0,311.9,1221.3,445.2,296.6,167.6,1756.3,0,0,1
102,1984,1040.6,616.6,2488.4,895.4,595.7,380.7,3529.0,1,0,0
103,1984,506.8,302.8,1255.2,441.7,298.3,212.4,1762.0,0,1,0
104,1984,533.8,313.8,1233.2,453.7,297.4,168.3,1767.0,0,0,1
105,1985,1034.3,618.0,2505.7,910.4,594.5,382.8,3540.0,1,0,0
106,1985,503.8,303.6,1265.2,449.9,297.5,214.2,1769.0,0,1,0
107,1985,530.5,314.4,1240.5,460.5,297.0,168.6,1771.0,0,0,1
108,1986,1024.7,617.5,2515.9,922.6,591.4,384.4,3540.6,1,0,0
109,1986,499.1,303.5,1271.9,457.0,295.8,215.6,1771.0,0,1,0
110,1986,525.6,314.0,1244.0,465.7,295.7,168.7,1769.7,0,0,1
111,1987,1014.4,615.8,2532.1,936.0,592.1,388.2,3546.5,1,0,0
112,1987,493.9,302.8,1282.3,465.2,295.8,218.5,1776.2,0,1,0
113,1987,520.5,313.0,1249.6,470.7,296.2,169.7,1770.3,0,0,1
114,1988,993.9,608.8,2536.9,939.3,595.6,393.2,3530.7,1,0,0
115,1988,484.1,299.9,1287.8,468.8,297.3,221.8,1771.9,0,1,0
116,1988,509.7,308.9,1249.0,470.3,298.3,171.5,1758.8,0,0,1
