Unnamed: 0,index,year,All countries,Australia,Canada,EU14_excl_Irl_UK,EU15_to_27,other_countries_23,UK,USA,sex_Both sexes,sex_Female,sex_Male,endpoint_Emigrants: All destinations,endpoint_Immigrants: All origins,endpoint_Net migration
0,0,1987,40.2,10.4,1.1,3.1,0.0,5.4,21.8,9.9,1,0,0,1,0,0
1,1,1987,17.2,10.4,1.1,2.2,0.0,4.0,8.1,3.0,1,0,0,0,1,0
2,2,1987,-23.0,10.4,1.1,-0.9,0.0,-1.4,-13.7,-6.9,1,0,0,0,0,1
3,3,1987,-20.366666666666667,10.4,1.1,1.9,0.0,2.8,8.7,5.2,0,1,0,1,0,0
4,4,1987,-17.733333333333334,10.4,1.1,1.2,0.0,2.2,4.0,1.7,0,1,0,0,1,0
5,5,1987,-15.1,10.4,1.1,-7.5,0.0,0.6,-4.7,-3.5,0,1,0,0,0,1
6,6,1987,-14.6,10.4,1.1,1.2,0.0,2.6,13.1,4.8,0,0,1,1,0,0
7,7,1987,-14.1,10.4,1.1,1.0,0.0,1.8,4.1,1.2,0,0,1,0,1,0
8,8,1987,-13.6,10.4,1.1,-0.2,0.0,-0.8,-9.0,-3.6,0,0,1,0,0,1
9,9,1988,61.1,10.4,1.1,2.8,0.0,10.2,40.2,7.9,1,0,0,1,0,0
10,10,1988,19.2,10.4,1.1,2.6,0.0,3.4,9.9,3.4,1,0,0,0,1,0
11,11,1988,-41.9,10.4,1.1,-0.2,0.0,-6.8,-30.3,-4.5,1,0,0,0,0,1
12,12,1988,-36.83333333333333,10.4,1.1,1.3,0.0,5.0,16.7,4.2,0,1,0,1,0,0
13,13,1988,-31.766666666666666,10.4,1.1,1.4,0.0,1.7,4.5,1.7,0,1,0,0,1,0
14,14,1988,-26.7,10.4,1.1,-15.3,0.0,3.3,-12.2,-2.5,0,1,0,0,0,1
15,15,1988,-25.866666666666667,10.4,1.1,1.5,0.0,5.3,23.5,3.8,0,0,1,1,0,0
16,16,1988,-25.03333333333333,10.4,1.1,1.2,0.0,1.6,5.4,1.7,0,0,1,0,1,0
17,17,1988,-24.2,10.4,1.1,-0.3,0.0,-3.7,-18.1,-2.1,0,0,1,0,0,1
18,18,1989,70.6,10.4,1.1,3.9,0.0,10.0,48.4,8.2,1,0,0,1,0,0
19,19,1989,26.7,10.4,1.1,3.6,0.0,5.8,14.2,3.1,1,0,0,0,1,0
