,index,year,sex,All Countries,Non-EU/Ireland/UK 2020,EU14 excl Irl,EU15 to EU27,Ireland,United Kingdom
0,0,2006,Both sexes,36.0,6.2,5.1,7.2,15.3,2.2
1,1,2006,Female,17.3,3.4,2.6,3.4,7.3,0.6
2,2,2006,Male,18.7,2.8,2.5,3.7,8.0,1.6
3,3,2007,Both sexes,46.3,8.2,8.9,12.6,12.9,3.7
4,4,2007,Female,20.6,3.6,4.6,4.3,6.8,1.4
5,5,2007,Male,25.7,4.6,4.3,8.4,6.1,2.3
6,6,2008,Both sexes,49.2,9.0,6.0,17.2,13.1,3.7
7,7,2008,Female,19.6,3.5,4.0,4.8,6.0,1.3
8,8,2008,Male,29.6,5.5,2.0,12.4,7.1,2.5
9,9,2009,Both sexes,72.0,11.0,7.4,30.5,19.2,3.9
10,10,2009,Female,30.1,6.7,5.5,9.5,6.9,1.5
11,11,2009,Male,41.9,4.3,1.9,21.1,12.3,2.4
12,12,2010,Both sexes,69.2,9.3,9.0,19.0,28.9,3.0
13,13,2010,Female,28.7,3.9,5.0,6.2,12.2,1.4
14,14,2010,Male,40.6,5.4,4.0,12.8,16.7,1.7
15,15,2011,Both sexes,80.6,9.9,10.2,13.9,42.0,4.6
16,16,2011,Female,38.8,4.8,6.6,7.1,17.5,2.8
17,17,2011,Male,41.9,5.1,3.7,6.8,24.5,1.8
18,18,2012,Both sexes,83.0,10.7,6.9,9.0,49.7,6.7
19,19,2012,Female,37.1,3.9,3.3,4.6,22.1,3.2
20,20,2012,Male,45.9,6.8,3.6,4.4,27.6,3.6
21,21,2013,Both sexes,81.3,10.9,7.2,8.2,48.3,6.7
22,22,2013,Female,39.7,5.0,3.9,4.2,23.2,3.4
23,23,2013,Male,41.6,5.9,3.3,4.0,25.1,3.2
24,24,2014,Both sexes,75.0,10.2,6.3,7.6,45.0,5.8
25,25,2014,Female,36.6,4.6,3.4,3.9,21.6,3.1
26,26,2014,Male,38.3,5.6,2.9,3.7,23.4,2.7
27,27,2015,Both sexes,70.0,8.8,6.0,7.1,42.5,5.6
28,28,2015,Female,34.1,3.6,3.2,3.6,20.7,2.9
29,29,2015,Male,35.8,5.2,2.8,3.5,21.8,2.6
30,30,2016,Both sexes,66.2,11.4,5.7,6.8,37.1,5.2
31,31,2016,Female,35.1,5.4,3.3,3.8,19.7,3.0
32,32,2016,Male,31.0,6.0,2.4,3.0,17.4,2.2
33,33,2017,Both sexes,56.1,11.7,6.7,9.1,24.7,4.0
34,34,2017,Female,26.6,5.5,3.1,4.3,11.7,1.9
35,35,2017,Male,29.5,6.2,3.5,4.8,12.9,2.1
36,36,2018,Both sexes,51.6,10.4,6.1,6.4,25.0,3.6
37,37,2018,Female,27.6,5.7,3.3,3.3,13.2,2.0
38,38,2018,Male,24.0,4.7,2.8,3.2,11.8,1.6
39,39,2019,Both sexes,53.1,11.4,4.5,7.0,27.2,3.0
40,40,2019,Female,26.2,5.4,2.4,3.4,13.2,1.9
41,41,2019,Male,26.9,6.0,2.1,3.6,14.0,1.2
42,42,2020,Both sexes,50.9,10.2,5.0,8.1,25.0,2.5
43,43,2020,Female,25.5,5.5,3.0,4.2,12.2,0.6
44,44,2020,Male,25.4,4.7,2.0,4.0,12.9,1.9
45,45,2021,Both sexes,52.3,15.4,7.5,5.1,21.4,3.0
46,46,2021,Female,26.9,7.0,4.6,2.2,12.0,1.1
47,47,2021,Male,25.4,8.4,2.9,2.9,9.3,1.8
48,48,2022,Both sexes,56.1,17.1,4.7,4.6,25.6,4.1
49,49,2022,Female,26.5,8.9,1.6,1.8,13.4,0.8
50,50,2022,Male,29.6,8.2,3.1,2.8,12.2,3.3
51,51,2023,Both sexes,64.0,14.4,6.9,7.3,30.5,5.0
52,52,2023,Female,32.9,6.8,4.3,3.1,16.0,2.7
53,53,2023,Male,31.0,7.5,2.6,4.2,14.4,2.3
