,index,year,sex,All Countries,Non-EU/Ireland/UK 2020,EU14 excl Irl,EU15 to EU27,Ireland,United Kingdom
0,0,1996,Both sexes,39.2,8.2,5.0,0.0,17.7,8.3
1,1,1996,Female,20.4,4.2,2.8,0.0,9.5,3.9
2,2,1996,Male,18.8,4.0,2.2,0.0,8.2,4.3
3,3,1997,Both sexes,44.5,9.7,5.5,0.0,20.8,8.4
4,4,1997,Female,22.6,5.1,3.1,0.0,10.7,3.8
5,5,1997,Male,22.0,4.7,2.5,0.0,10.2,4.6
6,6,1998,Both sexes,46.0,7.0,6.1,0.0,24.3,8.6
7,7,1998,Female,23.3,3.3,3.8,0.0,11.9,4.4
8,8,1998,Male,22.7,3.7,2.3,0.0,12.3,4.3
9,9,1999,Both sexes,48.9,7.0,6.9,0.0,26.7,8.2
10,10,1999,Female,24.4,3.5,3.9,0.0,13.0,3.9
11,11,1999,Male,24.5,3.6,3.0,0.0,13.7,4.3
12,12,2000,Both sexes,52.6,11.1,8.2,0.0,24.8,8.4
13,13,2000,Female,26.4,4.8,4.4,0.0,13.0,4.3
14,14,2000,Male,26.2,6.4,3.9,0.0,11.8,4.1
15,15,2001,Both sexes,59.0,17.3,6.5,0.0,26.3,9.0
16,16,2001,Female,29.0,7.9,3.5,0.0,13.1,4.5
17,17,2001,Male,30.1,9.3,3.1,0.0,13.2,4.5
18,18,2002,Both sexes,66.9,24.4,8.1,0.0,27.0,7.4
19,19,2002,Female,35.6,12.8,4.9,0.0,14.6,3.3
20,20,2002,Male,31.3,11.7,3.1,0.0,12.4,4.1
21,21,2003,Both sexes,60.0,24.5,8.8,0.0,17.6,9.1
22,22,2003,Female,28.6,11.9,4.7,0.0,7.9,4.0
23,23,2003,Male,31.4,12.6,4.1,0.0,9.7,5.0
24,24,2004,Both sexes,58.5,21.1,13.3,0.0,16.7,7.4
25,25,2004,Female,28.0,10.4,6.4,0.0,8.2,2.9
26,26,2004,Male,30.5,10.7,6.9,0.0,8.4,4.5
27,27,2005,Both sexes,84.6,13.7,9.3,34.1,18.5,8.9
28,28,2005,Female,37.1,7.6,5.5,11.2,9.1,3.7
29,29,2005,Male,47.5,6.1,3.8,22.9,9.4,5.2
30,30,2006,Both sexes,107.8,16.4,12.7,49.9,18.9,9.9
31,31,2006,Female,47.5,8.5,6.2,19.2,9.4,4.2
32,32,2006,Male,60.3,8.0,6.4,30.7,9.5,5.7
33,33,2007,Both sexes,151.1,19.0,11.8,85.3,30.7,4.3
34,34,2007,Female,71.1,9.4,7.1,37.8,15.0,1.9
35,35,2007,Male,80.0,9.6,4.7,47.5,15.7,2.4
36,36,2008,Both sexes,113.5,18.6,9.6,54.7,23.8,6.8
37,37,2008,Female,59.5,9.2,5.7,29.9,12.0,2.7
38,38,2008,Male,53.9,9.4,3.9,24.8,11.8,4.1
39,39,2009,Both sexes,73.7,14.1,11.5,21.1,23.0,3.9
40,40,2009,Female,36.8,7.1,7.9,10.3,10.0,1.7
41,41,2009,Male,36.8,7.0,3.7,10.8,13.0,2.3
42,42,2010,Both sexes,41.8,6.0,6.2,9.3,17.9,2.5
43,43,2010,Female,21.4,3.2,3.6,4.6,8.9,1.1
44,44,2010,Male,20.4,2.8,2.6,4.6,9.0,1.4
45,45,2011,Both sexes,53.3,12.4,7.1,10.1,19.6,4.1
46,46,2011,Female,27.2,6.5,3.7,5.5,9.7,1.9
47,47,2011,Male,26.0,5.9,3.4,4.6,9.9,2.2
48,48,2012,Both sexes,57.3,17.7,7.9,7.7,20.1,3.9
49,49,2012,Female,29.7,8.2,4.3,4.5,11.0,1.8
50,50,2012,Male,27.5,9.6,3.6,3.2,9.1,2.0
51,51,2013,Both sexes,62.7,19.8,8.8,8.3,21.7,4.1
52,52,2013,Female,30.4,8.4,4.3,4.6,11.2,1.9
53,53,2013,Male,32.3,11.3,4.4,3.8,10.5,2.3
54,54,2014,Both sexes,66.5,19.0,9.4,11.1,22.8,4.2
55,55,2014,Female,35.6,9.3,5.1,6.1,12.9,2.2
56,56,2014,Male,30.9,9.7,4.3,4.9,9.9,2.0
57,57,2015,Both sexes,75.9,21.9,10.2,12.2,26.6,5.0
58,58,2015,Female,40.2,10.7,5.6,6.7,14.7,2.5
59,59,2015,Male,35.7,11.2,4.6,5.5,11.9,2.5
60,60,2016,Both sexes,82.3,23.6,11.4,13.2,28.4,5.9
61,61,2016,Female,41.2,12.1,6.2,6.4,13.9,2.6
62,62,2016,Male,41.2,11.5,5.2,6.8,14.4,3.3
63,63,2017,Both sexes,95.3,35.5,11.4,11.0,31.0,6.4
64,64,2017,Female,48.0,18.0,6.0,5.5,15.6,2.9
65,65,2017,Male,47.3,17.6,5.4,5.5,15.3,3.5
66,66,2018,Both sexes,96.0,36.9,11.6,11.1,30.1,6.3
67,67,2018,Female,48.7,18.7,6.2,5.8,14.9,3.0
68,68,2018,Male,47.3,18.1,5.4,5.3,15.2,3.4
69,69,2019,Both sexes,97.1,37.1,11.6,11.1,31.0,6.4
70,70,2019,Female,48.1,17.6,5.9,5.7,15.5,3.4
