,year,sex,0 - 14 years,1 - 4 years,15 - 24 years,15 years and over,25 - 44 years,45 - 64 years,65 years and over,All ages,Under 1 year
0,1950,Both sexes,851.2,249.1,452.6,2117.8,773.6,574.5,317.1,2969.0,61.1
1,1950,Female,416.6,121.6,217.7,1042.4,380.2,283.2,161.3,1459.0,29.7
2,1950,Male,434.6,127.5,234.9,1075.4,393.4,291.3,155.8,1510.0,31.4
3,1951,Both sexes,854.8,249.3,443.4,2105.8,771.2,574.8,316.4,2960.6,63.6
4,1951,Female,418.4,121.7,212.2,1035.6,378.9,283.1,161.4,1454.0,30.9
5,1951,Male,436.4,127.6,231.1,1070.2,392.3,291.7,155.0,1506.6,32.6
6,1952,Both sexes,859.6,248.4,437.5,2093.3,760.3,578.6,316.9,2952.9,61.9
7,1952,Female,420.8,121.2,209.7,1031.2,375.1,284.8,161.6,1452.0,30.4
8,1952,Male,438.8,127.2,227.8,1062.1,385.2,293.8,155.3,1500.9,31.5
9,1953,Both sexes,865.3,248.1,432.3,2083.7,750.6,583.0,317.8,2949.0,60.1
10,1953,Female,423.4,121.4,207.4,1027.7,371.8,286.6,161.9,1451.1,29.3
11,1953,Male,441.9,126.7,224.9,1056.0,378.8,296.4,155.9,1497.9,30.8
12,1954,Both sexes,870.0,245.8,426.5,2071.2,739.7,586.7,318.3,2941.2,60.1
13,1954,Female,425.6,120.2,204.8,1022.6,367.8,288.0,162.0,1448.2,29.5
14,1954,Male,444.4,125.6,221.7,1048.6,371.9,298.7,156.3,1493.0,30.6
15,1955,Both sexes,871.0,242.8,419.0,2049.9,725.8,587.4,317.7,2920.9,59.3
16,1955,Female,426.8,119.1,201.8,1015.0,363.0,288.3,161.9,1441.8,29.2
17,1955,Male,444.2,123.7,217.2,1034.9,362.8,299.1,155.8,1479.1,30.1
18,1956,Both sexes,870.8,239.2,411.2,2027.7,711.6,588.3,316.6,2898.5,58.9
19,1956,Female,427.6,118.1,198.8,1007.8,358.2,289.3,161.5,1435.4,28.7
20,1956,Male,443.2,121.1,212.4,1019.9,353.4,299.0,155.1,1463.1,30.2
21,1957,Both sexes,873.1,239.5,407.7,2012.2,696.7,591.2,316.6,2885.3,59.5
22,1957,Female,428.0,117.8,197.3,1001.2,350.8,290.7,162.4,1429.2,29.2
23,1957,Male,445.1,121.7,210.4,1011.0,345.9,300.5,154.2,1456.1,30.3
