,year,age_group,sex,emigrants,Immigrants,migration
0,1987,0 - 14 years,Both sexes,2.8,3.1,
1,1987,0 - 14 years,Female,1.3,1.8,
2,1987,0 - 14 years,Male,1.4,1.3,
3,1987,15 - 24 years,Both sexes,24.0,5.1,
4,1987,15 - 24 years,Female,11.7,3.2,
5,1987,15 - 24 years,Male,12.3,1.9,
6,1987,25 - 44 years,Both sexes,11.8,6.1,
7,1987,25 - 44 years,Female,4.9,2.7,
8,1987,25 - 44 years,Male,6.9,3.4,
9,1987,45 - 64 years,Both sexes,1.7,1.8,
10,1987,45 - 64 years,Female,0.7,0.8,
11,1987,45 - 64 years,Male,1.0,1.0,
12,1987,65 years and over,Both sexes,0.0,1.1,
13,1987,65 years and over,Female,0.0,0.6,
14,1987,65 years and over,Male,0.0,0.5,
15,1987,All ages,Both sexes,40.2,17.2,-23.0
16,1988,0 - 14 years,Both sexes,8.3,3.0,
17,1988,0 - 14 years,Female,4.0,1.5,
18,1988,0 - 14 years,Male,4.3,1.5,
19,1988,15 - 24 years,Both sexes,31.2,5.4,
20,1988,15 - 24 years,Female,14.3,3.0,
21,1988,15 - 24 years,Male,17.0,2.4,
22,1988,25 - 44 years,Both sexes,18.3,7.2,
23,1988,25 - 44 years,Female,7.3,3.2,
24,1988,25 - 44 years,Male,11.0,4.0,
25,1988,45 - 64 years,Both sexes,3.2,2.2,
26,1988,45 - 64 years,Female,1.6,1.0,
27,1988,45 - 64 years,Male,1.6,1.1,
28,1988,65 years and over,Both sexes,0.0,1.4,
29,1988,65 years and over,Female,0.0,0.5,
30,1988,65 years and over,Male,0.0,0.9,
31,1988,All ages,Both sexes,61.1,19.2,-41.9
32,1989,0 - 14 years,Both sexes,7.8,4.4,
33,1989,0 - 14 years,Female,3.7,2.1,
34,1989,0 - 14 years,Male,4.1,2.3,
35,1989,15 - 24 years,Both sexes,37.0,7.7,
36,1989,15 - 24 years,Female,17.8,4.0,
37,1989,15 - 24 years,Male,19.2,3.7,
38,1989,25 - 44 years,Both sexes,21.9,10.6,
39,1989,25 - 44 years,Female,8.2,4.7,
40,1989,25 - 44 years,Male,13.7,5.8,
41,1989,45 - 64 years,Both sexes,3.8,2.2,
42,1989,45 - 64 years,Female,1.5,1.4,
43,1989,45 - 64 years,Male,2.2,0.8,
