,year,age_group,sex,value
0,1950,Under 1 year,Both sexes,61.1
1,1950,Under 1 year,Male,31.4
2,1950,Under 1 year,Female,29.7
6,1950,0 - 14 years,Both sexes,851.2
7,1950,0 - 14 years,Male,434.6
8,1950,0 - 14 years,Female,416.6
9,1950,1 - 4 years,Both sexes,249.1
10,1950,1 - 4 years,Male,127.5
11,1950,1 - 4 years,Female,121.6
21,1950,15 - 24 years,Both sexes,452.6
22,1950,15 - 24 years,Male,234.9
23,1950,15 - 24 years,Female,217.7
24,1950,15 years and over,Both sexes,2117.8
25,1950,15 years and over,Male,1075.4
26,1950,15 years and over,Female,1042.4
33,1950,25 - 44 years,Both sexes,773.6
34,1950,25 - 44 years,Male,393.4
35,1950,25 - 44 years,Female,380.2
48,1950,45 - 64 years,Both sexes,574.5
49,1950,45 - 64 years,Male,291.3
50,1950,45 - 64 years,Female,283.2
63,1950,65 years and over,Both sexes,317.1
64,1950,65 years and over,Male,155.8
65,1950,65 years and over,Female,161.3
78,1950,All ages,Both sexes,2969.0
79,1950,All ages,Male,1510.0
80,1950,All ages,Female,1459.0
81,1951,Under 1 year,Both sexes,63.6
82,1951,Under 1 year,Male,32.6
83,1951,Under 1 year,Female,30.9
87,1951,0 - 14 years,Both sexes,854.8
88,1951,0 - 14 years,Male,436.4
89,1951,0 - 14 years,Female,418.4
90,1951,1 - 4 years,Both sexes,249.3
91,1951,1 - 4 years,Male,127.6
92,1951,1 - 4 years,Female,121.7
102,1951,15 - 24 years,Both sexes,443.4
103,1951,15 - 24 years,Male,231.1
104,1951,15 - 24 years,Female,212.2
105,1951,15 years and over,Both sexes,2105.8
106,1951,15 years and over,Male,1070.2
107,1951,15 years and over,Female,1035.6
114,1951,25 - 44 years,Both sexes,771.2
115,1951,25 - 44 years,Male,392.3
116,1951,25 - 44 years,Female,378.9
129,1951,45 - 64 years,Both sexes,574.8
130,1951,45 - 64 years,Male,291.7
131,1951,45 - 64 years,Female,283.1
144,1951,65 years and over,Both sexes,316.4
145,1951,65 years and over,Male,155.0
146,1951,65 years and over,Female,161.4
159,1951,All ages,Both sexes,2960.6
160,1951,All ages,Male,1506.6
161,1951,All ages,Female,1454.0
162,1952,Under 1 year,Both sexes,61.9
163,1952,Under 1 year,Male,31.5
164,1952,Under 1 year,Female,30.4
168,1952,0 - 14 years,Both sexes,859.6
169,1952,0 - 14 years,Male,438.8
170,1952,0 - 14 years,Female,420.8
171,1952,1 - 4 years,Both sexes,248.4
172,1952,1 - 4 years,Male,127.2
173,1952,1 - 4 years,Female,121.2
183,1952,15 - 24 years,Both sexes,437.5
184,1952,15 - 24 years,Male,227.8
185,1952,15 - 24 years,Female,209.7
186,1952,15 years and over,Both sexes,2093.3
187,1952,15 years and over,Male,1062.1
188,1952,15 years and over,Female,1031.2
195,1952,25 - 44 years,Both sexes,760.3
196,1952,25 - 44 years,Male,385.2
197,1952,25 - 44 years,Female,375.1
210,1952,45 - 64 years,Both sexes,578.6
211,1952,45 - 64 years,Male,293.8
212,1952,45 - 64 years,Female,284.8
225,1952,65 years and over,Both sexes,316.9
226,1952,65 years and over,Male,155.3
227,1952,65 years and over,Female,161.6
240,1952,All ages,Both sexes,2952.9
241,1952,All ages,Male,1500.9
242,1952,All ages,Female,1452.0
243,1953,Under 1 year,Both sexes,60.1
244,1953,Under 1 year,Male,30.8
245,1953,Under 1 year,Female,29.3
249,1953,0 - 14 years,Both sexes,865.3
250,1953,0 - 14 years,Male,441.9
251,1953,0 - 14 years,Female,423.4
252,1953,1 - 4 years,Both sexes,248.1
253,1953,1 - 4 years,Male,126.7
254,1953,1 - 4 years,Female,121.4
264,1953,15 - 24 years,Both sexes,432.3
265,1953,15 - 24 years,Male,224.9
266,1953,15 - 24 years,Female,207.4
267,1953,15 years and over,Both sexes,2083.7
268,1953,15 years and over,Male,1056.0
269,1953,15 years and over,Female,1027.7
276,1953,25 - 44 years,Both sexes,750.6
277,1953,25 - 44 years,Male,378.8
278,1953,25 - 44 years,Female,371.8
291,1953,45 - 64 years,Both sexes,583.0
292,1953,45 - 64 years,Male,296.4
293,1953,45 - 64 years,Female,286.6
306,1953,65 years and over,Both sexes,317.8
307,1953,65 years and over,Male,155.9
308,1953,65 years and over,Female,161.9
321,1953,All ages,Both sexes,2949.0
322,1953,All ages,Male,1497.9
323,1953,All ages,Female,1451.1
324,1954,Under 1 year,Both sexes,60.1
325,1954,Under 1 year,Male,30.6
326,1954,Under 1 year,Female,29.5
330,1954,0 - 14 years,Both sexes,870.0
331,1954,0 - 14 years,Male,444.4
332,1954,0 - 14 years,Female,425.6
333,1954,1 - 4 years,Both sexes,245.8
334,1954,1 - 4 years,Male,125.6
335,1954,1 - 4 years,Female,120.2
345,1954,15 - 24 years,Both sexes,426.5
346,1954,15 - 24 years,Male,221.7
347,1954,15 - 24 years,Female,204.8
348,1954,15 years and over,Both sexes,2071.2
349,1954,15 years and over,Male,1048.6
350,1954,15 years and over,Female,1022.6
357,1954,25 - 44 years,Both sexes,739.7
358,1954,25 - 44 years,Male,371.9
359,1954,25 - 44 years,Female,367.8
372,1954,45 - 64 years,Both sexes,586.7
373,1954,45 - 64 years,Male,298.7
374,1954,45 - 64 years,Female,288.0
387,1954,65 years and over,Both sexes,318.3
388,1954,65 years and over,Male,156.3
389,1954,65 years and over,Female,162.0
402,1954,All ages,Both sexes,2941.2
403,1954,All ages,Male,1493.0
404,1954,All ages,Female,1448.2
405,1955,Under 1 year,Both sexes,59.3
406,1955,Under 1 year,Male,30.1
407,1955,Under 1 year,Female,29.2
411,1955,0 - 14 years,Both sexes,871.0
412,1955,0 - 14 years,Male,444.2
413,1955,0 - 14 years,Female,426.8
414,1955,1 - 4 years,Both sexes,242.8
415,1955,1 - 4 years,Male,123.7
416,1955,1 - 4 years,Female,119.1
426,1955,15 - 24 years,Both sexes,419.0
427,1955,15 - 24 years,Male,217.2
428,1955,15 - 24 years,Female,201.8
429,1955,15 years and over,Both sexes,2049.9
430,1955,15 years and over,Male,1034.9
431,1955,15 years and over,Female,1015.0
438,1955,25 - 44 years,Both sexes,725.8
439,1955,25 - 44 years,Male,362.8
440,1955,25 - 44 years,Female,363.0
453,1955,45 - 64 years,Both sexes,587.4
454,1955,45 - 64 years,Male,299.1
455,1955,45 - 64 years,Female,288.3
468,1955,65 years and over,Both sexes,317.7
469,1955,65 years and over,Male,155.8
470,1955,65 years and over,Female,161.9
483,1955,All ages,Both sexes,2920.9
484,1955,All ages,Male,1479.1
485,1955,All ages,Female,1441.8
486,1956,Under 1 year,Both sexes,58.9
487,1956,Under 1 year,Male,30.2
488,1956,Under 1 year,Female,28.7
492,1956,0 - 14 years,Both sexes,870.8
493,1956,0 - 14 years,Male,443.2
494,1956,0 - 14 years,Female,427.6
495,1956,1 - 4 years,Both sexes,239.2
496,1956,1 - 4 years,Male,121.1
497,1956,1 - 4 years,Female,118.1
507,1956,15 - 24 years,Both sexes,411.2
508,1956,15 - 24 years,Male,212.4
509,1956,15 - 24 years,Female,198.8
510,1956,15 years and over,Both sexes,2027.7
511,1956,15 years and over,Male,1019.9
512,1956,15 years and over,Female,1007.8
519,1956,25 - 44 years,Both sexes,711.6
520,1956,25 - 44 years,Male,353.4
521,1956,25 - 44 years,Female,358.2
534,1956,45 - 64 years,Both sexes,588.3
535,1956,45 - 64 years,Male,299.0
536,1956,45 - 64 years,Female,289.3
549,1956,65 years and over,Both sexes,316.6
550,1956,65 years and over,Male,155.1
551,1956,65 years and over,Female,161.5
564,1956,All ages,Both sexes,2898.5
565,1956,All ages,Male,1463.1
566,1956,All ages,Female,1435.4
567,1957,Under 1 year,Both sexes,59.5
568,1957,Under 1 year,Male,30.3
569,1957,Under 1 year,Female,29.2
573,1957,0 - 14 years,Both sexes,873.1
574,1957,0 - 14 years,Male,445.1
575,1957,0 - 14 years,Female,428.0
576,1957,1 - 4 years,Both sexes,239.5
577,1957,1 - 4 years,Male,121.7
578,1957,1 - 4 years,Female,117.8
588,1957,15 - 24 years,Both sexes,407.7
589,1957,15 - 24 years,Male,210.4
590,1957,15 - 24 years,Female,197.3
591,1957,15 years and over,Both sexes,2012.2
592,1957,15 years and over,Male,1011.0
593,1957,15 years and over,Female,1001.2
600,1957,25 - 44 years,Both sexes,696.7
601,1957,25 - 44 years,Male,345.9
602,1957,25 - 44 years,Female,350.8
615,1957,45 - 64 years,Both sexes,591.2
616,1957,45 - 64 years,Male,300.5
