,year,age_group,sex,value
0,1950,Under 1 year,Both sexes,61.1
1,1950,Under 1 year,Male,31.4
2,1950,Under 1 year,Female,29.7
3,1950,0 - 4 years,Both sexes,310.2
4,1950,0 - 4 years,Male,158.9
5,1950,0 - 4 years,Female,151.3
6,1950,0 - 14 years,Both sexes,851.2
7,1950,0 - 14 years,Male,434.6
8,1950,0 - 14 years,Female,416.6
9,1950,1 - 4 years,Both sexes,249.1
10,1950,1 - 4 years,Male,127.5
11,1950,1 - 4 years,Female,121.6
12,1950,5 - 9 years,Both sexes,278.9
13,1950,5 - 9 years,Male,142.3
14,1950,5 - 9 years,Female,136.6
15,1950,10 - 14 years,Both sexes,262.1
16,1950,10 - 14 years,Male,133.4
17,1950,10 - 14 years,Female,128.7
18,1950,15 - 19 years,Both sexes,244.0
19,1950,15 - 19 years,Male,126.6
20,1950,15 - 19 years,Female,117.4
21,1950,15 - 24 years,Both sexes,452.6
22,1950,15 - 24 years,Male,234.9
23,1950,15 - 24 years,Female,217.7
24,1950,15 years and over,Both sexes,2117.8
25,1950,15 years and over,Male,1075.4
26,1950,15 years and over,Female,1042.4
27,1950,20 - 24 years,Both sexes,208.6
28,1950,20 - 24 years,Male,108.3
29,1950,20 - 24 years,Female,100.3
30,1950,25 - 29 years,Both sexes,201.1
31,1950,25 - 29 years,Male,100.9
32,1950,25 - 29 years,Female,100.2
33,1950,25 - 44 years,Both sexes,773.6
34,1950,25 - 44 years,Male,393.4
35,1950,25 - 44 years,Female,380.2
36,1950,30 - 34 years,Both sexes,194.8
37,1950,30 - 34 years,Male,98.3
38,1950,30 - 34 years,Female,96.5
39,1950,35 - 39 years,Both sexes,199.8
40,1950,35 - 39 years,Male,101.8
41,1950,35 - 39 years,Female,98.0
42,1950,40 - 44 years,Both sexes,177.9
43,1950,40 - 44 years,Male,92.4
44,1950,40 - 44 years,Female,85.5
45,1950,45 - 49 years,Both sexes,163.8
46,1950,45 - 49 years,Male,83.6
47,1950,45 - 49 years,Female,80.2
48,1950,45 - 64 years,Both sexes,574.5
49,1950,45 - 64 years,Male,291.3
50,1950,45 - 64 years,Female,283.2
51,1950,50 - 54 years,Both sexes,158.4
52,1950,50 - 54 years,Male,80.6
53,1950,50 - 54 years,Female,77.8
54,1950,55 - 59 years,Both sexes,130.4
55,1950,55 - 59 years,Male,65.8
56,1950,55 - 59 years,Female,64.6
57,1950,60 - 64 years,Both sexes,121.9
58,1950,60 - 64 years,Male,61.3
59,1950,60 - 64 years,Female,60.6
60,1950,65 - 69 years,Both sexes,109.3
61,1950,65 - 69 years,Male,55.2
62,1950,65 - 69 years,Female,54.1
63,1950,65 years and over,Both sexes,317.1
64,1950,65 years and over,Male,155.8
65,1950,65 years and over,Female,161.3
66,1950,70 - 74 years,Both sexes,100.4
67,1950,70 - 74 years,Male,49.5
68,1950,70 - 74 years,Female,50.9
69,1950,75 - 79 years,Both sexes,64.0
70,1950,75 - 79 years,Male,31.4
71,1950,75 - 79 years,Female,32.6
72,1950,80 - 84 years,Both sexes,30.1
73,1950,80 - 84 years,Male,14.2
74,1950,80 - 84 years,Female,15.9
75,1950,85 years and over,Both sexes,13.3
76,1950,85 years and over,Male,5.5
77,1950,85 years and over,Female,7.8
78,1950,All ages,Both sexes,2969.0
79,1950,All ages,Male,1510.0
80,1950,All ages,Female,1459.0
81,1951,Under 1 year,Both sexes,63.6
82,1951,Under 1 year,Male,32.6
83,1951,Under 1 year,Female,30.9
84,1951,0 - 4 years,Both sexes,312.9
85,1951,0 - 4 years,Male,160.0
86,1951,0 - 4 years,Female,152.6
87,1951,0 - 14 years,Both sexes,854.8
88,1951,0 - 14 years,Male,436.4
89,1951,0 - 14 years,Female,418.4
90,1951,1 - 4 years,Both sexes,249.3
91,1951,1 - 4 years,Male,127.6
92,1951,1 - 4 years,Female,121.7
93,1951,5 - 9 years,Both sexes,281.0
94,1951,5 - 9 years,Male,143.5
95,1951,5 - 9 years,Female,137.6
96,1951,10 - 14 years,Both sexes,260.9
97,1951,10 - 14 years,Male,132.7
98,1951,10 - 14 years,Female,128.2
99,1951,15 - 19 years,Both sexes,241.2
100,1951,15 - 19 years,Male,125.7
101,1951,15 - 19 years,Female,115.4
102,1951,15 - 24 years,Both sexes,443.4
103,1951,15 - 24 years,Male,231.1
104,1951,15 - 24 years,Female,212.2
105,1951,15 years and over,Both sexes,2105.8
106,1951,15 years and over,Male,1070.2
107,1951,15 years and over,Female,1035.6
108,1951,20 - 24 years,Both sexes,202.2
109,1951,20 - 24 years,Male,105.4
110,1951,20 - 24 years,Female,96.8
111,1951,25 - 29 years,Both sexes,198.4
112,1951,25 - 29 years,Male,99.6
113,1951,25 - 29 years,Female,98.8
114,1951,25 - 44 years,Both sexes,771.2
115,1951,25 - 44 years,Male,392.3
116,1951,25 - 44 years,Female,378.9
117,1951,30 - 34 years,Both sexes,191.6
118,1951,30 - 34 years,Male,96.4
119,1951,30 - 34 years,Female,95.1
120,1951,35 - 39 years,Both sexes,200.9
121,1951,35 - 39 years,Male,102.3
122,1951,35 - 39 years,Female,98.6
123,1951,40 - 44 years,Both sexes,180.3
124,1951,40 - 44 years,Male,94.0
125,1951,40 - 44 years,Female,86.3
126,1951,45 - 49 years,Both sexes,160.9
127,1951,45 - 49 years,Male,82.4
128,1951,45 - 49 years,Female,78.5
129,1951,45 - 64 years,Both sexes,574.8
130,1951,45 - 64 years,Male,291.7
131,1951,45 - 64 years,Female,283.1
132,1951,50 - 54 years,Both sexes,163.0
133,1951,50 - 54 years,Male,82.9
134,1951,50 - 54 years,Female,80.1
135,1951,55 - 59 years,Both sexes,128.8
136,1951,55 - 59 years,Male,65.0
137,1951,55 - 59 years,Female,63.8
138,1951,60 - 64 years,Both sexes,122.1
139,1951,60 - 64 years,Male,61.3
140,1951,60 - 64 years,Female,60.7
141,1951,65 - 69 years,Both sexes,107.5
142,1951,65 - 69 years,Male,54.1
143,1951,65 - 69 years,Female,53.4
144,1951,65 years and over,Both sexes,316.4
145,1951,65 years and over,Male,155.0
146,1951,65 years and over,Female,161.4
147,1951,70 - 74 years,Both sexes,100.1
148,1951,70 - 74 years,Male,49.1
149,1951,70 - 74 years,Female,51.0
150,1951,75 - 79 years,Both sexes,64.6
151,1951,75 - 79 years,Male,31.6
152,1951,75 - 79 years,Female,32.9
153,1951,80 - 84 years,Both sexes,30.9
154,1951,80 - 84 years,Male,14.6
155,1951,80 - 84 years,Female,16.2
156,1951,85 years and over,Both sexes,13.3
157,1951,85 years and over,Male,5.5
158,1951,85 years and over,Female,7.8
159,1951,All ages,Both sexes,2960.6
160,1951,All ages,Male,1506.6
161,1951,All ages,Female,1454.0
162,1952,Under 1 year,Both sexes,61.9
163,1952,Under 1 year,Male,31.5
164,1952,Under 1 year,Female,30.4
165,1952,0 - 4 years,Both sexes,310.3
166,1952,0 - 4 years,Male,158.7
167,1952,0 - 4 years,Female,151.6
168,1952,0 - 14 years,Both sexes,859.6
169,1952,0 - 14 years,Male,438.8
170,1952,0 - 14 years,Female,420.8
171,1952,1 - 4 years,Both sexes,248.4
172,1952,1 - 4 years,Male,127.2
173,1952,1 - 4 years,Female,121.2
174,1952,5 - 9 years,Both sexes,284.7
175,1952,5 - 9 years,Male,145.5
176,1952,5 - 9 years,Female,139.2
177,1952,10 - 14 years,Both sexes,264.6
178,1952,10 - 14 years,Male,134.6
179,1952,10 - 14 years,Female,130.0
180,1952,15 - 19 years,Both sexes,239.7
181,1952,15 - 19 years,Male,125.0
182,1952,15 - 19 years,Female,114.7
183,1952,15 - 24 years,Both sexes,437.5
184,1952,15 - 24 years,Male,227.8
185,1952,15 - 24 years,Female,209.7
186,1952,15 years and over,Both sexes,2093.3
187,1952,15 years and over,Male,1062.1
188,1952,15 years and over,Female,1031.2
189,1952,20 - 24 years,Both sexes,197.8
190,1952,20 - 24 years,Male,102.8
191,1952,20 - 24 years,Female,95.0
192,1952,25 - 29 years,Both sexes,192.9
193,1952,25 - 29 years,Male,96.6
194,1952,25 - 29 years,Female,96.3
195,1952,25 - 44 years,Both sexes,760.3
196,1952,25 - 44 years,Male,385.2
197,1952,25 - 44 years,Female,375.1
198,1952,30 - 34 years,Both sexes,188.6
199,1952,30 - 34 years,Male,94.6
200,1952,30 - 34 years,Female,94.0
201,1952,35 - 39 years,Both sexes,197.3
202,1952,35 - 39 years,Male,99.8
203,1952,35 - 39 years,Female,97.5
