,year,age_group,sex,value
3,1950,0 - 4 years,Both sexes,310.2
4,1950,0 - 4 years,Male,158.9
5,1950,0 - 4 years,Female,151.3
12,1950,5 - 9 years,Both sexes,278.9
13,1950,5 - 9 years,Male,142.3
14,1950,5 - 9 years,Female,136.6
15,1950,10 - 14 years,Both sexes,262.1
16,1950,10 - 14 years,Male,133.4
17,1950,10 - 14 years,Female,128.7
18,1950,15 - 19 years,Both sexes,244.0
19,1950,15 - 19 years,Male,126.6
20,1950,15 - 19 years,Female,117.4
27,1950,20 - 24 years,Both sexes,208.6
28,1950,20 - 24 years,Male,108.3
29,1950,20 - 24 years,Female,100.3
30,1950,25 - 29 years,Both sexes,201.1
31,1950,25 - 29 years,Male,100.9
32,1950,25 - 29 years,Female,100.2
36,1950,30 - 34 years,Both sexes,194.8
37,1950,30 - 34 years,Male,98.3
38,1950,30 - 34 years,Female,96.5
39,1950,35 - 39 years,Both sexes,199.8
40,1950,35 - 39 years,Male,101.8
41,1950,35 - 39 years,Female,98.0
42,1950,40 - 44 years,Both sexes,177.9
43,1950,40 - 44 years,Male,92.4
44,1950,40 - 44 years,Female,85.5
45,1950,45 - 49 years,Both sexes,163.8
46,1950,45 - 49 years,Male,83.6
47,1950,45 - 49 years,Female,80.2
51,1950,50 - 54 years,Both sexes,158.4
52,1950,50 - 54 years,Male,80.6
53,1950,50 - 54 years,Female,77.8
54,1950,55 - 59 years,Both sexes,130.4
55,1950,55 - 59 years,Male,65.8
56,1950,55 - 59 years,Female,64.6
57,1950,60 - 64 years,Both sexes,121.9
58,1950,60 - 64 years,Male,61.3
59,1950,60 - 64 years,Female,60.6
60,1950,65 - 69 years,Both sexes,109.3
61,1950,65 - 69 years,Male,55.2
62,1950,65 - 69 years,Female,54.1
66,1950,70 - 74 years,Both sexes,100.4
67,1950,70 - 74 years,Male,49.5
68,1950,70 - 74 years,Female,50.9
69,1950,75 - 79 years,Both sexes,64.0
70,1950,75 - 79 years,Male,31.4
71,1950,75 - 79 years,Female,32.6
72,1950,80 - 84 years,Both sexes,30.1
73,1950,80 - 84 years,Male,14.2
74,1950,80 - 84 years,Female,15.9
75,1950,85 years and over,Both sexes,13.3
76,1950,85 years and over,Male,5.5
77,1950,85 years and over,Female,7.8
84,1951,0 - 4 years,Both sexes,312.9
85,1951,0 - 4 years,Male,160.0
86,1951,0 - 4 years,Female,152.6
93,1951,5 - 9 years,Both sexes,281.0
94,1951,5 - 9 years,Male,143.5
95,1951,5 - 9 years,Female,137.6
96,1951,10 - 14 years,Both sexes,260.9
97,1951,10 - 14 years,Male,132.7
98,1951,10 - 14 years,Female,128.2
99,1951,15 - 19 years,Both sexes,241.2
100,1951,15 - 19 years,Male,125.7
101,1951,15 - 19 years,Female,115.4
108,1951,20 - 24 years,Both sexes,202.2
109,1951,20 - 24 years,Male,105.4
110,1951,20 - 24 years,Female,96.8
111,1951,25 - 29 years,Both sexes,198.4
112,1951,25 - 29 years,Male,99.6
113,1951,25 - 29 years,Female,98.8
117,1951,30 - 34 years,Both sexes,191.6
118,1951,30 - 34 years,Male,96.4
119,1951,30 - 34 years,Female,95.1
120,1951,35 - 39 years,Both sexes,200.9
121,1951,35 - 39 years,Male,102.3
122,1951,35 - 39 years,Female,98.6
123,1951,40 - 44 years,Both sexes,180.3
124,1951,40 - 44 years,Male,94.0
125,1951,40 - 44 years,Female,86.3
126,1951,45 - 49 years,Both sexes,160.9
127,1951,45 - 49 years,Male,82.4
128,1951,45 - 49 years,Female,78.5
132,1951,50 - 54 years,Both sexes,163.0
133,1951,50 - 54 years,Male,82.9
134,1951,50 - 54 years,Female,80.1
135,1951,55 - 59 years,Both sexes,128.8
136,1951,55 - 59 years,Male,65.0
137,1951,55 - 59 years,Female,63.8
138,1951,60 - 64 years,Both sexes,122.1
139,1951,60 - 64 years,Male,61.3
140,1951,60 - 64 years,Female,60.7
141,1951,65 - 69 years,Both sexes,107.5
142,1951,65 - 69 years,Male,54.1
143,1951,65 - 69 years,Female,53.4
147,1951,70 - 74 years,Both sexes,100.1
148,1951,70 - 74 years,Male,49.1
149,1951,70 - 74 years,Female,51.0
150,1951,75 - 79 years,Both sexes,64.6
151,1951,75 - 79 years,Male,31.6
152,1951,75 - 79 years,Female,32.9
153,1951,80 - 84 years,Both sexes,30.9
154,1951,80 - 84 years,Male,14.6
155,1951,80 - 84 years,Female,16.2
156,1951,85 years and over,Both sexes,13.3
157,1951,85 years and over,Male,5.5
158,1951,85 years and over,Female,7.8
165,1952,0 - 4 years,Both sexes,310.3
166,1952,0 - 4 years,Male,158.7
167,1952,0 - 4 years,Female,151.6
174,1952,5 - 9 years,Both sexes,284.7
175,1952,5 - 9 years,Male,145.5
176,1952,5 - 9 years,Female,139.2
177,1952,10 - 14 years,Both sexes,264.6
178,1952,10 - 14 years,Male,134.6
179,1952,10 - 14 years,Female,130.0
180,1952,15 - 19 years,Both sexes,239.7
181,1952,15 - 19 years,Male,125.0
182,1952,15 - 19 years,Female,114.7
189,1952,20 - 24 years,Both sexes,197.8
190,1952,20 - 24 years,Male,102.8
191,1952,20 - 24 years,Female,95.0
192,1952,25 - 29 years,Both sexes,192.9
193,1952,25 - 29 years,Male,96.6
194,1952,25 - 29 years,Female,96.3
198,1952,30 - 34 years,Both sexes,188.6
199,1952,30 - 34 years,Male,94.6
200,1952,30 - 34 years,Female,94.0
