year,sex,0 - 4 years,5 - 9 years,10 - 14 years,15 - 19 years,20 - 24 years,25 - 29 years,30 - 34 years,35 - 39 years,40 - 44 years,45 - 49 years,50 - 54 years,55 - 59 years,60 - 64 years,65 - 69 years,70 - 74 years,75 - 79 years,80 - 84 years,85 years and over
1950,Both sexes,310.2,278.9,262.1,244.0,208.6,201.1,194.8,199.8,177.9,163.8,158.4,130.4,121.9,109.3,100.4,64.0,30.1,13.3
1950,Female,151.3,136.6,128.7,117.4,100.3,100.2,96.5,98.0,85.5,80.2,77.8,64.6,60.6,54.1,50.9,32.6,15.9,7.8
1950,Male,158.9,142.3,133.4,126.6,108.3,100.9,98.3,101.8,92.4,83.6,80.6,65.8,61.3,55.2,49.5,31.4,14.2,5.5
1951,Both sexes,312.9,281.0,260.9,241.2,202.2,198.4,191.6,200.9,180.3,160.9,163.0,128.8,122.1,107.5,100.1,64.6,30.9,13.3
1951,Female,152.6,137.6,128.2,115.4,96.8,98.8,95.1,98.6,86.3,78.5,80.1,63.8,60.7,53.4,51.0,32.9,16.2,7.8
1951,Male,160.0,143.5,132.7,125.7,105.4,99.6,96.4,102.3,94.0,82.4,82.9,65.0,61.3,54.1,49.1,31.6,14.6,5.5
1952,Both sexes,310.3,284.7,264.6,239.7,197.8,192.9,188.6,197.3,181.5,163.6,160.0,133.8,121.2,107.9,98.8,64.9,31.3,14.0
1952,Female,151.6,139.2,130.0,114.7,95.0,96.3,94.0,97.5,87.3,79.7,78.4,66.2,60.5,53.5,50.4,33.1,16.5,8.1
1952,Male,158.7,145.5,134.6,125.0,102.8,96.6,94.6,99.8,94.2,83.9,81.6,67.6,60.7,54.4,48.4,31.8,14.8,5.9
1953,Both sexes,308.2,288.5,268.6,238.6,193.7,187.7,185.8,194.1,183.0,166.4,157.3,138.8,120.5,108.6,97.7,65.4,31.6,14.5
1953,Female,150.7,140.8,131.9,114.1,93.3,93.9,92.9,96.6,88.4,80.9,76.8,68.6,60.3,53.7,49.9,33.3,16.7,8.3
1953,Male,157.5,147.7,136.7,124.5,100.4,93.8,92.9,97.5,94.6,85.5,80.5,70.2,60.2,54.9,47.8,32.1,14.9,6.2
1954,Both sexes,305.9,292.0,272.1,237.1,189.4,182.2,182.8,190.6,184.1,169.0,154.4,143.6,119.7,109.0,96.3,65.8,32.1,15.1
1954,Female,149.7,142.3,133.6,113.3,91.5,91.3,91.7,95.5,89.3,82.0,75.1,70.9,60.0,53.8,49.2,33.5,17.0,8.5
1954,Male,156.2,149.7,138.5,123.8,97.9,90.9,91.1,95.1,94.8,87.0,79.3,72.7,59.7,55.2,47.1,32.3,15.1,6.6
1955,Both sexes,302.1,294.3,274.6,234.7,184.3,176.1,179.0,186.2,184.5,170.3,150.9,147.8,118.4,109.0,94.7,65.9,32.4,15.7
1955,Female,148.3,143.5,135.0,112.3,89.5,88.6,90.3,94.1,90.0,82.4,73.3,73.0,59.6,53.8,48.5,33.6,17.2,8.8
1955,Male,153.8,150.8,139.6,122.4,94.8,87.5,88.7,92.1,94.5,87.9,77.6,74.8,58.8,55.2,46.2,32.3,15.2,6.9
1956,Both sexes,298.1,296.1,276.6,232.1,179.1,169.8,175.2,181.9,184.7,172.4,147.2,151.8,116.9,108.9,93.0,65.9,32.6,16.2
1956,Female,146.8,144.5,136.3,111.3,87.5,85.8,88.9,92.8,90.7,83.7,71.4,75.1,59.1,53.7,47.8,33.6,17.4,9.0
1956,Male,151.3,151.6,140.3,120.8,91.6,84.0,86.3,89.1,94.0,88.7,75.8,76.7,57.8,55.2,45.2,32.3,15.2,7.2
1957,Both sexes,299.0,294.7,279.4,232.7,175.0,164.9,170.8,179.0,182.0,173.0,149.4,148.8,120.0,107.9,93.1,65.4,33.5,16.7
1957,Female,147.0,143.8,137.2,111.8,85.5,83.2,86.6,91.3,89.7,84.1,72.3,73.6,60.7,53.4,48.0,33.6,18.0,9.4
1957,Male,152.0,150.9,142.2,120.9,89.5,81.7,84.2,87.7,92.3,88.9,77.1,75.2,59.3,54.5,45.1,31.8,15.5,7.3
1958,Both sexes,297.8,291.4,280.3,231.8,169.7,159.1,165.3,175.0,178.0,172.5,150.5,144.7,122.1,106.1,92.5,64.5,34.3,17.1
1958,Female,146.2,142.2,137.2,111.6,83.0,80.2,83.8,89.2,88.1,84.0,72.6,71.6,61.8,52.8,47.9,33.4,18.5,9.7
