,year,age_group,sex,region,value
486,2011,All ages,Both sexes,State,4574.9
487,2011,All ages,Both sexes,Border,391.9
488,2011,All ages,Both sexes,West,440.8
489,2011,All ages,Both sexes,Mid-West,466.8
490,2011,All ages,Both sexes,South-East,410.3
491,2011,All ages,Both sexes,South-West,662.3
492,2011,All ages,Both sexes,Dublin,1261.5
493,2011,All ages,Both sexes,Mid-East,657.4
494,2011,All ages,Both sexes,Midland,283.8
495,2011,All ages,Male,State,2270.5
496,2011,All ages,Male,Border,197.0
497,2011,All ages,Male,West,220.5
498,2011,All ages,Male,Mid-West,233.7
499,2011,All ages,Male,South-East,204.7
500,2011,All ages,Male,South-West,329.6
501,2011,All ages,Male,Dublin,615.4
502,2011,All ages,Male,Mid-East,327.3
503,2011,All ages,Male,Midland,142.4
504,2011,All ages,Female,State,2304.4
505,2011,All ages,Female,Border,194.9
506,2011,All ages,Female,West,220.3
507,2011,All ages,Female,Mid-West,233.2
508,2011,All ages,Female,South-East,205.6
509,2011,All ages,Female,South-West,332.7
510,2011,All ages,Female,Dublin,646.2
511,2011,All ages,Female,Mid-East,330.1
512,2011,All ages,Female,Midland,141.4
999,2012,All ages,Both sexes,State,4593.7
1000,2012,All ages,Both sexes,Border,392.1
1001,2012,All ages,Both sexes,West,439.4
1002,2012,All ages,Both sexes,Mid-West,470.6
1003,2012,All ages,Both sexes,South-East,411.6
1004,2012,All ages,Both sexes,South-West,667.4
1005,2012,All ages,Both sexes,Dublin,1260.6
1006,2012,All ages,Both sexes,Mid-East,664.7
1007,2012,All ages,Both sexes,Midland,287.2
1008,2012,All ages,Male,State,2275.0
1009,2012,All ages,Male,Border,197.7
1010,2012,All ages,Male,West,219.0
1011,2012,All ages,Male,Mid-West,235.8
1012,2012,All ages,Male,South-East,204.9
1013,2012,All ages,Male,South-West,331.9
1014,2012,All ages,Male,Dublin,612.2
1015,2012,All ages,Male,Mid-East,330.2
1016,2012,All ages,Male,Midland,143.4
1017,2012,All ages,Female,State,2318.7
1018,2012,All ages,Female,Border,194.4
1019,2012,All ages,Female,West,220.5
1020,2012,All ages,Female,Mid-West,234.8
1021,2012,All ages,Female,South-East,206.7
1022,2012,All ages,Female,South-West,335.5
1023,2012,All ages,Female,Dublin,648.5
1024,2012,All ages,Female,Mid-East,334.5
1025,2012,All ages,Female,Midland,143.8
1512,2013,All ages,Both sexes,State,4614.7
1513,2013,All ages,Both sexes,Border,393.1
1514,2013,All ages,Both sexes,West,441.7
1515,2013,All ages,Both sexes,Mid-West,470.7
1516,2013,All ages,Both sexes,South-East,413.7
1517,2013,All ages,Both sexes,South-West,673.8
1518,2013,All ages,Both sexes,Dublin,1265.9
1519,2013,All ages,Both sexes,Mid-East,666.4
1520,2013,All ages,Both sexes,Midland,289.3
1521,2013,All ages,Male,State,2286.1
1522,2013,All ages,Male,Border,197.4
1523,2013,All ages,Male,West,220.5
1524,2013,All ages,Male,Mid-West,235.5
1525,2013,All ages,Male,South-East,206.3
1526,2013,All ages,Male,South-West,335.1
1527,2013,All ages,Male,Dublin,616.2
1528,2013,All ages,Male,Mid-East,330.6
1529,2013,All ages,Male,Midland,144.4
1530,2013,All ages,Female,State,2328.5
1531,2013,All ages,Female,Border,195.7
1532,2013,All ages,Female,West,221.2
1533,2013,All ages,Female,Mid-West,235.2
1534,2013,All ages,Female,South-East,207.4
1535,2013,All ages,Female,South-West,338.7
1536,2013,All ages,Female,Dublin,649.7
1537,2013,All ages,Female,Mid-East,335.8
1538,2013,All ages,Female,Midland,144.8
2025,2014,All ages,Both sexes,State,4645.4
2026,2014,All ages,Both sexes,Border,392.0
2027,2014,All ages,Both sexes,West,441.1
2028,2014,All ages,Both sexes,Mid-West,471.8
2029,2014,All ages,Both sexes,South-East,413.5
2030,2014,All ages,Both sexes,South-West,679.5
2031,2014,All ages,Both sexes,Dublin,1286.4
2032,2014,All ages,Both sexes,Mid-East,671.4
2033,2014,All ages,Both sexes,Midland,289.8
2034,2014,All ages,Male,State,2299.0
2035,2014,All ages,Male,Border,195.9
2036,2014,All ages,Male,West,220.4
2037,2014,All ages,Male,Mid-West,234.8
2038,2014,All ages,Male,South-East,205.9
2039,2014,All ages,Male,South-West,337.8
2040,2014,All ages,Male,Dublin,627.7
2041,2014,All ages,Male,Mid-East,332.2
2042,2014,All ages,Male,Midland,144.3
2043,2014,All ages,Female,State,2346.4
2044,2014,All ages,Female,Border,196.1
2045,2014,All ages,Female,West,220.7
2046,2014,All ages,Female,Mid-West,236.9
2047,2014,All ages,Female,South-East,207.6
2048,2014,All ages,Female,South-West,341.6
2049,2014,All ages,Female,Dublin,658.7
2050,2014,All ages,Female,Mid-East,339.1
2051,2014,All ages,Female,Midland,145.6
2538,2015,All ages,Both sexes,State,4687.8
2539,2015,All ages,Both sexes,Border,391.9
2540,2015,All ages,Both sexes,West,442.2
2541,2015,All ages,Both sexes,Mid-West,473.4
2542,2015,All ages,Both sexes,South-East,415.6
2543,2015,All ages,Both sexes,South-West,678.9
2544,2015,All ages,Both sexes,Dublin,1315.3
2545,2015,All ages,Both sexes,Mid-East,679.3
2546,2015,All ages,Both sexes,Midland,291.1
2547,2015,All ages,Male,State,2317.7
2548,2015,All ages,Male,Border,195.4
2549,2015,All ages,Male,West,220.9
2550,2015,All ages,Male,Mid-West,235.1
2551,2015,All ages,Male,South-East,206.6
2552,2015,All ages,Male,South-West,335.6
2553,2015,All ages,Male,Dublin,642.5
2554,2015,All ages,Male,Mid-East,336.2
2555,2015,All ages,Male,Midland,145.4
2556,2015,All ages,Female,State,2370.1
2557,2015,All ages,Female,Border,196.5
2558,2015,All ages,Female,West,221.3
2559,2015,All ages,Female,Mid-West,238.3
2560,2015,All ages,Female,South-East,209.0
2561,2015,All ages,Female,South-West,343.3
2562,2015,All ages,Female,Dublin,672.8
2563,2015,All ages,Female,Mid-East,343.2
2564,2015,All ages,Female,Midland,145.8
3051,2016,All ages,Both sexes,State,4739.6
3052,2016,All ages,Both sexes,Border,393.3
3053,2016,All ages,Both sexes,West,447.5
3054,2016,All ages,Both sexes,Mid-West,472.5
3055,2016,All ages,Both sexes,South-East,421.2
3056,2016,All ages,Both sexes,South-West,685.0
3057,2016,All ages,Both sexes,Dublin,1335.9
