,year,age_group,sex,region,value
0,2011,0 - 4 years,Both sexes,State,356.0
1,2011,0 - 4 years,Both sexes,Border,30.7
2,2011,0 - 4 years,Both sexes,West,32.6
3,2011,0 - 4 years,Both sexes,Mid-West,35.0
4,2011,0 - 4 years,Both sexes,South-East,32.0
5,2011,0 - 4 years,Both sexes,South-West,50.1
6,2011,0 - 4 years,Both sexes,Dublin,93.3
7,2011,0 - 4 years,Both sexes,Mid-East,58.5
8,2011,0 - 4 years,Both sexes,Midland,23.9
9,2011,0 - 4 years,Male,State,182.0
10,2011,0 - 4 years,Male,Border,15.8
11,2011,0 - 4 years,Male,West,16.6
12,2011,0 - 4 years,Male,Mid-West,18.0
13,2011,0 - 4 years,Male,South-East,16.4
14,2011,0 - 4 years,Male,South-West,25.5
15,2011,0 - 4 years,Male,Dublin,47.6
16,2011,0 - 4 years,Male,Mid-East,29.7
17,2011,0 - 4 years,Male,Midland,12.3
18,2011,0 - 4 years,Female,State,174.1
19,2011,0 - 4 years,Female,Border,15.0
20,2011,0 - 4 years,Female,West,16.0
21,2011,0 - 4 years,Female,Mid-West,17.0
22,2011,0 - 4 years,Female,South-East,15.6
23,2011,0 - 4 years,Female,South-West,24.6
24,2011,0 - 4 years,Female,Dublin,45.7
25,2011,0 - 4 years,Female,Mid-East,28.7
26,2011,0 - 4 years,Female,Midland,11.6
27,2011,5 - 9 years,Both sexes,State,319.6
28,2011,5 - 9 years,Both sexes,Border,28.4
29,2011,5 - 9 years,Both sexes,West,30.8
30,2011,5 - 9 years,Both sexes,Mid-West,32.4
31,2011,5 - 9 years,Both sexes,South-East,30.1
32,2011,5 - 9 years,Both sexes,South-West,44.9
33,2011,5 - 9 years,Both sexes,Dublin,78.6
34,2011,5 - 9 years,Both sexes,Mid-East,52.4
35,2011,5 - 9 years,Both sexes,Midland,21.9
36,2011,5 - 9 years,Male,State,163.5
37,2011,5 - 9 years,Male,Border,14.7
38,2011,5 - 9 years,Male,West,15.7
39,2011,5 - 9 years,Male,Mid-West,16.4
40,2011,5 - 9 years,Male,South-East,15.4
