,year,sex,age_group,Border,Dublin,Mid-East,Mid-West,Midland,South-East,South-West,State,West
0,2011,Both sexes,0 - 4 years,30.7,93.3,58.5,35.0,23.9,32.0,50.1,356.0,32.6
1,2011,Both sexes,10 - 14 years,28.1,72.8,46.9,32.0,20.4,28.5,43.3,301.0,29.0
2,2011,Both sexes,15 - 19 years,25.9,72.0,40.7,29.9,18.1,25.9,40.8,281.0,27.9
3,2011,Both sexes,20 - 24 years,23.8,93.6,39.7,29.3,17.4,24.9,42.0,298.6,28.1
4,2011,Both sexes,25 - 29 years,26.3,125.9,47.8,32.7,21.0,28.2,49.2,362.9,31.7
5,2011,Both sexes,30 - 34 years,29.1,127.2,56.4,36.2,23.0,32.4,54.5,393.4,34.6
6,2011,Both sexes,35 - 39 years,28.7,103.7,56.9,35.3,22.0,31.5,51.6,363.1,33.3
7,2011,Both sexes,40 - 44 years,27.7,87.4,51.4,33.4,20.7,29.9,47.7,329.3,31.2
8,2011,Both sexes,45 - 49 years,26.1,79.4,45.4,31.5,18.8,28.3,45.5,304.1,29.2
9,2011,Both sexes,5 - 9 years,28.4,78.6,52.4,32.4,21.9,30.1,44.9,319.6,30.8
10,2011,Both sexes,50 - 54 years,24.0,71.4,38.2,29.2,17.0,25.3,40.9,273.7,27.7
11,2011,Both sexes,55 - 59 years,22.0,62.4,33.0,26.6,14.9,22.5,36.7,243.4,25.3
12,2011,Both sexes,60 - 64 years,20.2,55.2,28.7,24.4,13.0,20.2,33.0,217.1,22.5
13,2011,Both sexes,65 - 69 years,16.1,43.3,22.2,19.2,10.3,16.7,26.4,172.1,17.9
14,2011,Both sexes,70 - 74 years,12.1,34.8,15.0,14.4,7.6,12.6,20.1,130.1,13.4
15,2011,Both sexes,75 - 79 years,9.7,27.2,10.8,11.2,6.1,9.7,15.8,101.4,10.8
16,2011,Both sexes,80 - 84 years,6.9,18.7,7.2,7.8,4.2,6.3,10.9,69.8,7.8
17,2011,Both sexes,85 years and over,6.3,14.6,6.3,6.3,3.5,5.3,8.9,58.2,7.0
18,2011,Both sexes,All ages,391.9,1261.5,657.4,466.8,283.8,410.3,662.3,4574.9,440.8
19,2011,Female,0 - 4 years,15.0,45.7,28.7,17.0,11.6,15.6,24.6,174.1,16.0
20,2011,Female,10 - 14 years,13.6,35.2,22.8,15.7,10.0,13.9,21.2,146.6,14.2
21,2011,Female,15 - 19 years,12.6,35.1,19.8,14.6,8.9,12.8,20.1,137.4,13.6
22,2011,Female,20 - 24 years,11.8,47.9,20.0,14.4,8.6,12.4,21.0,149.9,13.9
23,2011,Female,25 - 29 years,13.4,65.5,25.1,16.6,10.8,14.6,25.5,187.8,16.2
