"Statistic Label","Year","Sex","Citizenship","UNIT","VALUE"
"Estimated Population","2006","Both sexes","All Countries","Thousand","4232.9"
"Estimated Population","2006","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","43.8"
"Estimated Population","2006","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","132.5"
"Estimated Population","2006","Both sexes","United Kingdom","Thousand","115.5"
"Estimated Population","2006","Both sexes","Ireland","Thousand","3802.4"
"Estimated Population","2006","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","138.8"
"Estimated Population","2006","Male","All Countries","Thousand","2117.3"
"Estimated Population","2006","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","21.3"
"Estimated Population","2006","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","79.9"
"Estimated Population","2006","Male","United Kingdom","Thousand","57.8"
"Estimated Population","2006","Male","Ireland","Thousand","1887.4"
"Estimated Population","2006","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","70.9"
"Estimated Population","2006","Female","All Countries","Thousand","2115.6"
"Estimated Population","2006","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","22.5"
"Estimated Population","2006","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","52.6"
"Estimated Population","2006","Female","United Kingdom","Thousand","57.7"
"Estimated Population","2006","Female","Ireland","Thousand","1914.9"
"Estimated Population","2006","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","67.9"
"Estimated Population","2007","Both sexes","All Countries","Thousand","4375.8"
"Estimated Population","2007","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","47"
"Estimated Population","2007","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","207.6"
"Estimated Population","2007","Both sexes","United Kingdom","Thousand","115.5"
"Estimated Population","2007","Both sexes","Ireland","Thousand","3856.2"
"Estimated Population","2007","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","149.6"
"Estimated Population","2007","Male","All Countries","Thousand","2191.3"
"Estimated Population","2007","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","21.8"
"Estimated Population","2007","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","120.3"
"Estimated Population","2007","Male","United Kingdom","Thousand","57.6"
"Estimated Population","2007","Male","Ireland","Thousand","1915.7"
"Estimated Population","2007","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","75.9"
"Estimated Population","2007","Female","All Countries","Thousand","2184.6"
"Estimated Population","2007","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","25.2"
"Estimated Population","2007","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","87.4"
"Estimated Population","2007","Female","United Kingdom","Thousand","57.9"
"Estimated Population","2007","Female","Ireland","Thousand","1940.5"
"Estimated Population","2007","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","73.7"
"Estimated Population","2008","Both sexes","All Countries","Thousand","4485.1"
"Estimated Population","2008","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","50.8"
"Estimated Population","2008","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","247.7"
"Estimated Population","2008","Both sexes","United Kingdom","Thousand","117.9"
"Estimated Population","2008","Both sexes","Ireland","Thousand","3909.5"
"Estimated Population","2008","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","159.2"
"Estimated Population","2008","Male","All Countries","Thousand","2238.6"
"Estimated Population","2008","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","23.7"
"Estimated Population","2008","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","133.9"
"Estimated Population","2008","Male","United Kingdom","Thousand","58.9"
"Estimated Population","2008","Male","Ireland","Thousand","1942.3"
"Estimated Population","2008","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","79.8"
"Estimated Population","2008","Female","All Countries","Thousand","2246.5"
"Estimated Population","2008","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","27.1"
"Estimated Population","2008","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","113.8"
"Estimated Population","2008","Female","United Kingdom","Thousand","59"
"Estimated Population","2008","Female","Ireland","Thousand","1967.2"
"Estimated Population","2008","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","79.5"
"Estimated Population","2009","Both sexes","All Countries","Thousand","4533.4"
"Estimated Population","2009","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","55.3"
"Estimated Population","2009","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","240.8"
"Estimated Population","2009","Both sexes","United Kingdom","Thousand","117.1"
"Estimated Population","2009","Both sexes","Ireland","Thousand","3958"
"Estimated Population","2009","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","162.2"
"Estimated Population","2009","Male","All Countries","Thousand","2257.3"
"Estimated Population","2009","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","25.5"
"Estimated Population","2009","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","124.8"
"Estimated Population","2009","Male","United Kingdom","Thousand","58.3"
"Estimated Population","2009","Male","Ireland","Thousand","1966.4"
"Estimated Population","2009","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","82.3"
"Estimated Population","2009","Female","All Countries","Thousand","2276.1"
"Estimated Population","2009","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","29.7"
"Estimated Population","2009","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","116"
"Estimated Population","2009","Female","United Kingdom","Thousand","58.8"
"Estimated Population","2009","Female","Ireland","Thousand","1991.6"
"Estimated Population","2009","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","79.9"
"Estimated Population","2010","Both sexes","All Countries","Thousand","4554.8"
"Estimated Population","2010","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","52.4"
"Estimated Population","2010","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","233"
"Estimated Population","2010","Both sexes","United Kingdom","Thousand","115.9"
"Estimated Population","2010","Both sexes","Ireland","Thousand","3994.7"
"Estimated Population","2010","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","158.7"
"Estimated Population","2010","Male","All Countries","Thousand","2262.2"
"Estimated Population","2010","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","24"
"Estimated Population","2010","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","117.6"
"Estimated Population","2010","Male","United Kingdom","Thousand","57.7"
"Estimated Population","2010","Male","Ireland","Thousand","1983.3"
"Estimated Population","2010","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","79.6"
"Estimated Population","2010","Female","All Countries","Thousand","2292.6"
"Estimated Population","2010","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","28.4"
"Estimated Population","2010","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","115.5"
"Estimated Population","2010","Female","United Kingdom","Thousand","58.2"
"Estimated Population","2010","Female","Ireland","Thousand","2011.4"
"Estimated Population","2010","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","79.1"
"Estimated Population","2011","Both sexes","All Countries","Thousand","4574.9"
"Estimated Population","2011","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","49.4"
"Estimated Population","2011","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","231.5"
"Estimated Population","2011","Both sexes","United Kingdom","Thousand","114.9"
"Estimated Population","2011","Both sexes","Ireland","Thousand","4017.9"
"Estimated Population","2011","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","161.2"
"Estimated Population","2011","Male","All Countries","Thousand","2270.5"
"Estimated Population","2011","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","23.9"
"Estimated Population","2011","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","116.5"
"Estimated Population","2011","Male","United Kingdom","Thousand","57.8"
"Estimated Population","2011","Male","Ireland","Thousand","1991.9"
"Estimated Population","2011","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","80.4"
"Estimated Population","2011","Female","All Countries","Thousand","2304.4"
"Estimated Population","2011","Female","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","25.5"
"Estimated Population","2011","Female","EU15 to EU27 (accession countries joined post 2004)","Thousand","114.9"
"Estimated Population","2011","Female","United Kingdom","Thousand","57.1"
"Estimated Population","2011","Female","Ireland","Thousand","2026"
"Estimated Population","2011","Female","All countries excluding Ireland,United Kingdom and EU272020","Thousand","80.8"
"Estimated Population","2012","Both sexes","All Countries","Thousand","4593.7"
"Estimated Population","2012","Both sexes","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","51"
"Estimated Population","2012","Both sexes","EU15 to EU27 (accession countries joined post 2004)","Thousand","232.7"
"Estimated Population","2012","Both sexes","United Kingdom","Thousand","111.8"
"Estimated Population","2012","Both sexes","Ireland","Thousand","4046.6"
"Estimated Population","2012","Both sexes","All countries excluding Ireland,United Kingdom and EU272020","Thousand","151.6"
"Estimated Population","2012","Male","All Countries","Thousand","2275"
"Estimated Population","2012","Male","EU14 excl Irl (countries in the EU pre 2004 excluding UK & Ireland)","Thousand","24.3"
"Estimated Population","2012","Male","EU15 to EU27 (accession countries joined post 2004)","Thousand","116.8"
"Estimated Population","2012","Male","United Kingdom","Thousand","56.1"
"Estimated Population","2012","Male","Ireland","Thousand","2003.2"
"Estimated Population","2012","Male","All countries excluding Ireland,United Kingdom and EU272020","Thousand","74.7"
